x (nm),y (nm),zpen (mm),Force (N),Freq Shift (Hz)
15.31953,-47.3522,9.157,0.002,-2.796
15.31953,-47.3532,9.133,0.006,-2.795
15.32053,-47.3542,9.09,0.006,-2.799
15.32153,-47.3532,9.036,0.008,-2.798
15.32253,-47.3522,8.968,0.008,-2.8
15.32353,-47.3542,8.877,0.005,-2.801
15.32353,-47.3572,8.82,0.003,-2.799
15.32353,-47.3562,8.805,0.002,-2.801
15.32253,-47.3522,8.75,0.006,-2.795
15.32253,-47.3462,8.628,0,-2.8
15.32253,-47.3432,8.492,0.015,-2.797
15.32053,-47.3432,8.327,0.007,-2.803
15.32153,-47.3452,8.328,-0.003,-2.801
15.32153,-47.3462,8.333,0,-2.802
15.32153,-47.3472,8.314,0.005,-2.802
15.32153,-47.3472,8.29,0.002,-2.804
15.32353,-47.3482,8.261,0.001,-2.794
15.32753,-47.3482,8.29,-0.005,-2.802
15.32753,-47.3442,8.304,0.002,-2.805
15.32553,-47.3382,8.254,0.006,-2.811
15.32453,-47.3362,8.224,0.001,-2.795
15.32453,-47.3362,8.224,0,-2.797
15.32453,-47.3322,8.204,0.002,-2.805
15.32453,-47.3302,8.156,0.004,-2.813
15.32453,-47.3302,8.127,0.001,-2.812
15.32653,-47.3292,8.127,0,-2.8
15.32953,-47.3302,8.132,0,-2.799
15.32953,-47.3312,8.151,-0.006,-2.798
15.32853,-47.3312,8.151,0,-2.798
15.32553,-47.3322,8.151,0,-2.804
15.32353,-47.3322,8.151,0,-2.797
15.32353,-47.3322,8.151,0,-2.807
15.32253,-47.3302,8.165,-0.001,-2.795
15.32153,-47.3192,8.139,0.004,-2.808
15.32053,-47.3112,8.075,0.005,-2.801
15.31953,-47.3052,8.04,0.004,-2.802
15.31853,-47.3012,8.03,0,-2.795
15.31853,-47.2992,8.015,0.001,-2.803
15.31853,-47.2962,8.01,0.001,-2.804
15.31453,-47.2862,7.975,0.003,-2.802
15.31153,-47.2812,7.94,0.005,-2.798
15.30753,-47.2752,7.906,0.004,-2.798
15.30753,-47.2722,7.887,0.002,-2.804
15.30953,-47.2712,7.882,0,-2.8
15.31053,-47.2712,7.882,0,-2.798
15.31253,-47.2702,7.882,0,-2.798
15.31153,-47.2692,7.886,0.002,-2.8
15.31053,-47.2652,7.862,0.003,-2.802
15.30953,-47.2632,7.852,0.001,-2.801
15.30953,-47.2652,7.862,-0.002,-2.796
15.31053,-47.2692,7.886,-0.001,-2.803
15.31053,-47.2702,7.891,0,-2.801
15.31053,-47.2692,7.886,0,-2.803
15.31053,-47.2682,7.882,0,-2.797
15.31053,-47.2682,7.882,0,-2.8
15.31053,-47.2682,7.882,0,-2.797
15.31053,-47.2682,7.882,0,-2.806
15.31053,-47.2682,7.882,0,-2.803
