x (nm),y (nm),zpen (mm),Force (N),Freq Shift (Hz)
12.51053,-47.5612,-2.083,0.668,-2.804
12.50853,-47.5592,-2.041,0.571,-2.801
12.50953,-47.5612,-2.093,0.486,-2.805
12.51053,-47.5632,-2.084,0.549,-2.792
12.51053,-47.5662,-2.085,0.444,-2.804
12.51053,-47.5682,-2.005,0.744,-2.797
12.50953,-47.5712,-2.053,0.5,-2.802
12.50753,-47.5672,-2.01,0.615,-2.797
12.50653,-47.5672,-2.02,0.521,-2.805
12.50753,-47.5642,-1.906,0.601,-2.801
12.50753,-47.5672,-1.933,0.422,-2.802
12.50753,-47.5682,-1.975,0.523,-2.799
12.50853,-47.5702,-1.981,0,-2.8
12.50853,-47.5712,-1.951,0.553,-2.809
12.50853,-47.5722,-1.941,0.532,-2.808
12.50853,-47.5732,-2.095,0.38,-2.811
12.50753,-47.5712,-2.171,0.417,-2.805
12.50853,-47.5722,-2.217,0.333,-2.805
12.50853,-47.5712,-2.13,0.475,-2.798
12.50853,-47.5722,-2.125,0.466,-2.798
12.50853,-47.5732,-2.044,0.616,-2.797
12.50953,-47.5742,-1.87,0.557,-2.814
12.51053,-47.5752,-1.866,0.146,-2.807
12.51053,-47.5752,-2.035,0.23,-2.803
12.51153,-47.5732,-2.177,0.423,-2.799
12.51253,-47.5752,-2.009,0.459,-2.805
12.51453,-47.5762,-1.891,0.55,-2.811
12.51553,-47.5762,-1.994,0.435,-2.798
12.51653,-47.5752,-2.161,0.328,-2.807
12.51653,-47.5712,-2.103,0.62,-2.797
12.51953,-47.5702,-2.035,0.395,-2.807
12.52053,-47.5662,-1.885,0.585,-2.8
12.52053,-47.5682,-2.019,0.407,-2.802
12.52053,-47.5642,-2.001,0.551,-2.802
12.52153,-47.5642,-2.001,0.504,-2.797
12.52153,-47.5652,-2.012,0.5,-2.801
12.52153,-47.5652,-1.946,0.607,-2.802
12.52153,-47.5682,-1.957,0.522,-2.801
12.52153,-47.5672,-2.013,0.507,-2.799
12.52153,-47.5662,-2.003,0.526,-2.797
12.52153,-47.5672,-1.988,0.571,-2.796
12.52153,-47.5652,-1.956,0.61,-2.799
12.52153,-47.5642,-1.925,0.645,-2.794
12.52253,-47.5632,-1.929,0.565,-2.804
12.52253,-47.5632,-1.929,0.682,-2.794
12.52253,-47.5642,-2.068,0.475,-2.803
12.52453,-47.5622,-1.872,0.634,-2.795
12.52653,-47.5672,-1.992,0.497,-2.801
12.52753,-47.5622,-1.866,0.623,-2.798
12.52853,-47.5632,-1.872,0.495,-2.799
12.52853,-47.5662,-1.925,0.581,-2.798
12.52853,-47.5642,-1.908,0.561,-2.797
12.52953,-47.5652,-1.904,0.586,-2.801
12.52953,-47.5652,-1.904,0.6,-2.804
12.53053,-47.5672,-1.935,0.524,-2.802
12.53153,-47.5662,-1.98,0.452,-2.799
12.53153,-47.5642,-1.975,0.494,-2.806
12.53153,-47.5642,-1.949,0.558,-2.819
12.53253,-47.5652,-2.021,0.405,-2.813
12.53253,-47.5652,-2.282,0.177,-2.813
12.53453,-47.5612,-2.488,0.389,-2.805
12.53453,-47.5652,-2.404,0.35,-2.809
12.53553,-47.5642,-2.316,0.521,-2.803
12.53653,-47.5632,-2.249,0.401,-2.791
12.53653,-47.5642,-2.204,0.543,-2.801
12.53653,-47.5642,-1.724,0.665,-2.796
12.53953,-47.5672,-1.684,0.423,-2.806
12.54253,-47.5662,-1.836,0.598,-2.798
12.54453,-47.5642,-2.004,0.415,-2.805
12.54453,-47.5612,-1.93,0.575,-2.806
12.54353,-47.5632,-2.074,0.464,-2.812
12.54553,-47.5592,-2.127,0.446,-2.796
12.54553,-47.5582,-2.234,0.334,-2.8
12.54453,-47.5602,-2.21,0.721,-2.793
12.54453,-47.5562,-1.994,0.537,-2.805
12.54553,-47.5602,-1.924,0.714,-2.798
12.54553,-47.5602,-2.052,0.462,-2.8
12.54553,-47.5572,-2.015,0.593,-2.8
12.54653,-47.5582,-2.01,0.575,-2.797
12.54653,-47.5582,-2,0.551,-2.803
12.54653,-47.5592,-1.954,0.621,-2.804
12.54753,-47.5612,-2.011,0.481,-2.807
12.54753,-47.5582,-2.066,0.479,-2.798
12.54753,-47.5572,-2.096,0.407,-2.798
12.54753,-47.5572,-2.055,0.609,-2.798
12.54853,-47.5562,-1.947,0.593,-2.798
12.54853,-47.5592,-1.959,0.594,-2.797
12.54853,-47.5572,-1.953,0.599,-2.798
12.54853,-47.5582,-1.938,0.627,-2.801
12.54853,-47.5582,-1.938,0.596,-2.804
12.54853,-47.5582,-1.964,0.526,-2.799
12.54853,-47.5582,-2.025,0.467,-2.804
12.54853,-47.5572,-1.983,0.561,-2.792
12.54853,-47.5582,-2.025,0.473,-2.798
12.54853,-47.5562,-1.794,0.672,-2.797
12.55053,-47.5572,-1.764,0.544,-2.8
12.55253,-47.5582,-1.861,0.591,-2.803
12.55253,-47.5562,-1.886,0.533,-2.797
12.55453,-47.5582,-1.943,0.475,-2.805
12.55753,-47.5562,-1.869,0.582,-2.795
12.56053,-47.5552,-2.068,0.742,-2.8
12.56253,-47.5512,-1.938,0.65,-2.797
12.56653,-47.5542,-1.939,0.556,-2.799
12.56853,-47.5532,-1.938,0.597,-2.8
12.57353,-47.5542,-2.04,0.566,-2.803
12.57353,-47.5622,-2.228,0.559,-2.8
12.58153,-47.5652,-2.326,0.67,-2.792
12.58353,-47.5672,-2.306,0.664,-2.793
12.58353,-47.5702,-2.175,0.805,-2.8
12.58253,-47.5712,-2.192,0.82,-2.798
12.58353,-47.5722,-2.305,0.722,-2.8
12.58453,-47.5742,-2.398,0.74,-2.795
12.58653,-47.5772,-2.41,0.704,-2.8
12.58853,-47.5812,-2.381,0.811,-2.797
12.58953,-47.5842,-2.393,0.7,-2.799
12.59353,-47.5902,-2.457,0.799,-2.802
12.59853,-47.5952,-2.485,0.761,-2.8
12.60153,-47.6032,-2.68,0.758,-2.802
12.59853,-47.6062,-2.815,0.84,-2.8
12.59853,-47.6072,-2.826,0,-2.804
12.60053,-47.6092,-2.858,0.848,-2.804
12.60053,-47.6112,-2.9,0.766,-2.808
12.60053,-47.6142,-2.959,0.801,-2.805
12.60153,-47.6182,-2.977,0.704,-2.803
12.60853,-47.6262,-2.985,0.777,-2.801
12.62053,-47.6332,-2.896,0.797,-2.796
12.63553,-47.6462,-2.825,0.811,-2.802
12.64153,-47.6562,-2.742,0.904,-2.799
12.64853,-47.6722,-2.777,0.79,-2.804
12.65153,-47.6802,-2.75,0.848,-2.811
12.65453,-47.6882,-2.749,0.732,-2.801
12.66153,-47.7002,-2.993,0.651,-2.803
12.66953,-47.7082,-3.146,0.913,-2.795
12.67353,-47.7172,-3.125,0.898,-2.805
12.68253,-47.7282,-2.98,1.022,-2.805
12.69453,-47.7422,-2.956,0.786,-2.805
12.71553,-47.7552,-3.199,0.851,-2.803
12.72653,-47.7592,-3.216,0.858,-2.802
12.73653,-47.7652,-3.203,0.893,-2.804
12.75053,-47.7792,-3.063,0.885,-2.804
12.78053,-47.7882,-3.111,0.838,-2.804
12.79453,-47.7912,-3.122,0.844,-2.796
12.80753,-47.7952,-3.138,0.855,-2.803
12.82453,-47.8022,-2.969,0.994,-2.806
12.83853,-47.8112,-2.935,0.821,-2.809
12.85853,-47.8192,-3.146,0.843,-2.806
12.87553,-47.8242,-3.283,0.799,-2.8
12.88853,-47.8292,-3.368,0.893,-2.803
12.89653,-47.8342,-3.281,0.995,-2.805
12.90153,-47.8492,-3.204,0.911,-2.807
12.90353,-47.8522,-3.216,0.876,-2.805
12.90453,-47.8552,-3.306,0.843,-2.804
12.90453,-47.8582,-3.339,0.899,-2.807
12.90653,-47.8612,-3.299,0.931,-2.808
12.90553,-47.8642,-3.295,0.835,-2.807
12.90653,-47.8652,-3.316,0.836,-2.803
12.90553,-47.8662,-3.311,0.848,-2.807
12.90453,-47.8682,-3.244,0.93,-2.805
12.90353,-47.8712,-3.188,0.803,-2.808
12.90253,-47.8762,-3.185,0.867,-2.808
12.90253,-47.8772,-3.202,0.786,-2.809
12.90153,-47.8792,-3.255,0.802,-2.804
12.90153,-47.8802,-3.287,0.914,-2.801
12.89953,-47.8852,-3.179,0.868,-2.806
12.89853,-47.8892,-3.092,0.923,-2.811
12.89653,-47.8912,-3.066,0.788,-2.814
12.89653,-47.8932,-3.162,0.704,-2.808
12.89453,-47.8942,-3.336,0.694,-2.803
12.88753,-47.8922,-3.33,0.813,-2.803
12.88653,-47.8942,-3.226,0.912,-2.811
12.88653,-47.8952,-3.1,0.884,-2.809
12.88553,-47.8952,-3.19,0.725,-2.808
12.88653,-47.8932,-3.352,0.806,-2.807
12.88653,-47.8912,-3.335,0.819,-2.812
12.88753,-47.8932,-3.299,0.836,-2.816
12.88753,-47.8952,-3.353,0.748,-2.809
12.88753,-47.8932,-3.43,0.665,-2.813
12.88653,-47.8932,-3.457,0.85,-2.807
12.88553,-47.8922,-3.435,0.735,-2.813
12.88553,-47.8952,-3.405,0.866,-2.804
12.88753,-47.8972,-3.369,0.715,-2.807
12.88753,-47.8982,-3.349,0.923,-2.808
12.88653,-47.9002,-3.281,0.83,-2.812
12.88653,-47.9022,-3.335,0.823,-2.809
12.88553,-47.9042,-3.378,0.74,-2.806
12.88553,-47.9082,-3.395,0.827,-2.81
12.88353,-47.9192,-3.247,0.853,-2.811
12.88353,-47.9272,-3.282,0.769,-2.812
12.88453,-47.9302,-3.32,0.75,-2.813
12.88553,-47.9332,-3.358,0.739,-2.815
12.88453,-47.9362,-3.407,0.728,-2.815
12.88253,-47.9452,-3.591,0.758,-2.806
12.88253,-47.9482,-3.666,0.762,-2.807
12.88353,-47.9522,-3.578,0.958,-2.805
12.88453,-47.9562,-3.436,0.875,-2.809
12.88853,-47.9682,-3.345,0.913,-2.813
12.88953,-47.9722,-3.373,0.813,-2.819
12.89353,-47.9782,-3.624,0.796,-2.818
12.89353,-47.9792,-3.672,0.679,-2.816
12.89453,-47.9832,-3.77,0.732,-2.814
12.89653,-47.9842,-3.791,0.793,-2.814
12.89953,-47.9862,-3.76,0.816,-2.813
12.90353,-47.9882,-3.75,0.834,-2.813
12.90853,-47.9902,-3.745,0.832,-2.817
12.91653,-47.9912,-3.745,0.848,-2.816
12.92253,-47.9952,-3.847,0.784,-2.817
12.92453,-47.9972,-3.917,0.843,-2.816
12.92853,-47.9992,-3.938,0.82,-2.82
12.93853,-48.0022,-3.955,0.841,-2.815
12.94953,-48.0072,-4.111,0.795,-2.821
12.95453,-48.0092,-4.159,0.946,-2.822
12.96153,-48.0102,-4.175,0.792,-2.822
12.97453,-48.0142,-4.378,0.856,-2.82
12.99353,-48.0142,-4.446,0.846,-2.818
13.01453,-48.0152,-4.407,0.891,-2.823
13.02753,-48.0182,-4.371,0.923,-2.82
13.03653,-48.0212,-4.403,0.813,-2.823
13.04153,-48.0232,-4.42,0.912,-2.83
13.04153,-48.0252,-4.453,0.853,-2.831
13.04153,-48.0262,-4.565,0.709,-2.835
13.04053,-48.0302,-4.716,0.733,-2.831
13.03953,-48.0292,-4.881,0.676,-2.835
13.03953,-48.0302,-4.999,0.815,-2.832
13.04053,-48.0312,-5.036,0.718,-2.843
13.04053,-48.0312,-5.032,0.796,-2.848
13.04153,-48.0352,-5.188,0.583,-2.845
13.04053,-48.0382,-5.531,0.594,-2.842
13.04053,-48.0432,-5.839,0.735,-2.838
13.04253,-48.0462,-5.755,0.771,-2.845
13.04653,-48.0562,-5.583,0.631,-2.844
13.04953,-48.0602,-5.671,0.683,-2.847
13.05753,-48.0612,-5.762,0.736,-2.849
13.06353,-48.0652,-5.839,0.702,-2.853
13.06853,-48.0682,-5.92,0.678,-2.855
13.07853,-48.0722,-6.082,0.64,-2.858
13.08253,-48.0732,-6.238,0.629,-2.854
13.08853,-48.0772,-6.465,0.647,-2.859
13.09453,-48.0792,-6.514,0.743,-2.863
13.10253,-48.0802,-6.509,0.6,-2.865
13.11353,-48.0882,-6.744,0.602,-2.868
13.12353,-48.0902,-6.943,0.612,-2.868
13.14053,-48.0962,-7.177,0.634,-2.876
13.15453,-48.0992,-7.253,0.648,-2.876
13.16253,-48.1012,-7.367,0.474,-2.883
13.17053,-48.1072,-7.651,0.607,-2.884
13.17553,-48.1082,-8.034,0.55,-2.887
13.18153,-48.1102,-8.288,0.611,-2.889
13.18553,-48.1122,-8.392,0.545,-2.888
13.18853,-48.1152,-8.485,0.54,-2.893
13.19053,-48.1192,-8.558,0.566,-2.896
13.19453,-48.1232,-8.832,0.562,-2.892
13.19953,-48.1242,-9.141,0.592,-2.897
13.20653,-48.1242,-9.188,0.675,-2.896
13.21853,-48.1252,-9.231,0.588,-2.907
13.22753,-48.1262,-9.274,0.611,-2.905
13.23753,-48.1272,-9.475,0.416,-2.911
13.24353,-48.1282,-9.822,0.599,-2.906
13.24853,-48.1292,-10.159,0.551,-2.912
13.24853,-48.1322,-10.253,0.693,-2.908
13.24953,-48.1352,-10.223,0.629,-2.914
13.25053,-48.1402,-10.211,0.63,-2.912
13.25253,-48.1432,-10.328,0.518,-2.913
13.25453,-48.1462,-10.516,0.627,-2.913
13.25653,-48.1472,-10.538,0.612,-2.914
13.26053,-48.1502,-10.54,0.606,-2.914
13.26153,-48.1502,-10.552,0.576,-2.918
13.26253,-48.1532,-10.603,0.611,-2.913
13.26453,-48.1562,-10.687,0.537,-2.915
13.27253,-48.1592,-10.716,0.676,-2.911
13.27853,-48.1612,-10.734,0.624,-2.916
13.28453,-48.1642,-10.763,0.746,-2.918
13.29053,-48.1652,-10.758,0.623,-2.919
13.29653,-48.1682,-10.853,0.601,-2.917
13.29753,-48.1712,-10.921,0.597,-2.916
13.29853,-48.1732,-10.966,0.666,-2.919
13.30253,-48.1752,-10.957,0.688,-2.916
13.30953,-48.1802,-11.043,0.633,-2.914
13.31153,-48.1802,-11.043,0.7,-2.91
13.31253,-48.1842,-11.008,0.744,-2.916
13.31353,-48.1872,-10.924,0.809,-2.917
13.31353,-48.1892,-10.964,0.703,-2.919
13.31553,-48.1922,-11.114,0.711,-2.922
13.31853,-48.1932,-11.273,0.718,-2.923
13.32253,-48.1962,-11.38,0.691,-2.919
13.32753,-48.1992,-11.475,0.7,-2.913
13.33753,-48.2022,-11.454,0.761,-2.916
13.34253,-48.2052,-11.358,0.881,-2.922
13.34853,-48.2132,-11.332,0.818,-2.927
13.35553,-48.2212,-11.509,0.726,-2.922
13.35553,-48.2252,-11.689,0.656,-2.92
13.35553,-48.2312,-11.793,0.824,-2.915
13.35653,-48.2332,-11.697,0.835,-2.916
13.35653,-48.2392,-11.609,0.937,-2.914
13.36053,-48.2492,-11.519,0.887,-2.914
13.36353,-48.2512,-11.51,0.94,-2.917
13.36953,-48.2532,-11.5,0.92,-2.916
13.37753,-48.2582,-11.559,0.875,-2.919
13.38253,-48.2622,-11.535,0.875,-2.913
13.38853,-48.2682,-11.562,0.821,-2.91
13.39253,-48.2732,-11.511,0.952,-2.903
13.39453,-48.2832,-11.36,0.964,-2.908
13.39753,-48.2962,-11.029,1.041,-2.91
13.40053,-48.3032,-11.057,0.94,-2.92
13.40553,-48.3082,-11.171,0.937,-2.917
13.41253,-48.3112,-11.36,0.742,-2.922
13.42253,-48.3192,-11.582,0.903,-2.916
13.43553,-48.3272,-11.681,0.786,-2.915
13.44653,-48.3332,-11.664,0.932,-2.913
13.45553,-48.3382,-11.546,0.905,-2.913
13.46353,-48.3462,-11.474,0.934,-2.918
13.46953,-48.3542,-11.419,0.915,-2.916
13.47553,-48.3602,-11.468,0.824,-2.921
13.47953,-48.3632,-11.481,0.871,-2.918
13.48053,-48.3672,-11.54,0.761,-2.924
13.48453,-48.3732,-11.566,0.839,-2.917
13.48653,-48.3762,-11.602,0.712,-2.918
13.49153,-48.3842,-11.625,0.875,-2.911
13.49353,-48.3902,-11.591,0.859,-2.908
13.49753,-48.3952,-11.372,0.958,-2.912
13.49953,-48.4002,-11.303,1.007,-2.915
13.50653,-48.4072,-11.308,0.909,-2.92
13.51253,-48.4122,-11.394,0.864,-2.911
13.52053,-48.4172,-11.627,0.826,-2.907
13.52453,-48.4212,-11.484,0.983,-2.899
13.52553,-48.4282,-11.233,1.01,-2.904
13.52653,-48.4352,-11.07,1.153,-2.9
13.52853,-48.4402,-10.973,1.004,-2.906
13.53153,-48.4422,-10.958,1.104,-2.9
13.53353,-48.4472,-11.084,1.004,-2.897
13.53553,-48.4462,-10.977,1.109,-2.89
13.53553,-48.4482,-10.872,1.149,-2.893
13.53553,-48.4502,-10.746,1.292,-2.889
13.53553,-48.4522,-10.557,1.148,-2.893
13.53753,-48.4552,-10.469,1.226,-2.888
13.54053,-48.4562,-10.464,1.114,-2.89
13.54353,-48.4562,-10.436,1.243,-2.886
13.54653,-48.4612,-10.411,1.183,-2.886
13.54953,-48.4652,-10.274,1.216,-2.889
13.54953,-48.4692,-10.209,1.201,-2.885
13.55153,-48.4722,-10.222,1.156,-2.888
13.55153,-48.4752,-10.145,1.218,-2.889
13.55153,-48.4772,-10.146,1.14,-2.887
13.55253,-48.4822,-10.188,1.12,-2.89
13.55353,-48.4852,-10.128,1.163,-2.883
13.55853,-48.4902,-10.125,1.09,-2.889
13.56353,-48.4922,-10.059,1.225,-2.878
13.57553,-48.4982,-10.061,1.094,-2.876
13.58653,-48.5032,-9.627,1.204,-2.867
13.58953,-48.5122,-9.424,1.203,-2.861
13.59253,-48.5172,-9.18,1.32,-2.863
13.59453,-48.5192,-8.778,1.35,-2.866
13.59753,-48.5272,-8.551,1.245,-2.87
13.60753,-48.5332,-8.626,1.202,-2.865
13.61253,-48.5342,-8.777,1.135,-2.86
13.61453,-48.5342,-8.693,1.232,-2.859
13.61853,-48.5382,-8.532,1.294,-2.855
13.62053,-48.5412,-8.376,1.272,-2.853
13.62553,-48.5412,-8.191,1.311,-2.853
13.63053,-48.5422,-8.079,1.327,-2.853
13.63753,-48.5432,-8.018,1.313,-2.854
13.64253,-48.5442,-7.985,1.292,-2.85
13.64753,-48.5452,-7.985,1.273,-2.844
13.64853,-48.5452,-7.873,1.339,-2.842
13.64953,-48.5472,-7.498,1.347,-2.844
13.65153,-48.5522,-7.292,1.33,-2.849
13.65653,-48.5572,-7.209,1.28,-2.849
13.66353,-48.5592,-7.327,1.184,-2.854
13.66953,-48.5582,-7.377,1.196,-2.858
13.66953,-48.5602,-7.45,1.096,-2.853
13.67053,-48.5592,-7.467,1.014,-2.849
13.67053,-48.5582,-7.444,1.127,-2.841
13.67153,-48.5602,-7.338,1.184,-2.844
13.67453,-48.5642,-7.048,1.257,-2.849
13.68353,-48.5692,-6.998,1.194,-2.853
13.68653,-48.5712,-7.043,1.095,-2.851
13.68653,-48.5752,-7.218,1.048,-2.845
13.68553,-48.5762,-7.207,1.091,-2.843
13.68553,-48.5812,-7.146,1.216,-2.848
13.68553,-48.5872,-6.95,1.201,-2.847
13.68953,-48.5912,-7.069,1.124,-2.85
13.69253,-48.5912,-7.069,1.149,-2.85
13.69553,-48.5942,-7.137,1.095,-2.85
13.69753,-48.5952,-7.131,1.095,-2.847
13.69953,-48.5962,-7.137,1.095,-2.849
13.70153,-48.5972,-7.086,1.145,-2.851
13.70553,-48.5992,-7.104,1.118,-2.854
13.70653,-48.6002,-7.126,1.066,-2.856
13.70653,-48.6022,-7.199,1.008,-2.854
13.70653,-48.6062,-7.357,1.024,-2.859
13.71253,-48.6072,-7.352,1.063,-2.859
13.71853,-48.6092,-7.409,0.962,-2.858
13.72653,-48.6122,-7.476,0.989,-2.853
13.73053,-48.6132,-7.488,1.017,-2.855
13.73753,-48.6152,-7.404,1.058,-2.861
13.74153,-48.6182,-7.404,1.068,-2.855
13.75053,-48.6212,-7.568,0.961,-2.856
13.75753,-48.6232,-7.5,1.092,-2.857
13.76053,-48.6252,-7.518,1.07,-2.865
13.76553,-48.6262,-7.512,1.046,-2.864
13.76753,-48.6272,-7.636,0.899,-2.862
13.76653,-48.6292,-7.856,0.974,-2.862
13.76853,-48.6312,-7.817,1.023,-2.867
13.77053,-48.6322,-7.823,1.019,-2.866
13.77453,-48.6362,-7.874,0.914,-2.873
13.77853,-48.6382,-7.931,0.951,-2.869
13.78453,-48.6432,-8.169,0.877,-2.872
13.78853,-48.6442,-8.158,0.937,-2.865
13.79153,-48.6492,-8.159,0.869,-2.867
13.79853,-48.6572,-7.996,1,-2.867
13.80353,-48.6632,-8.026,0.968,-2.87
13.80853,-48.6642,-8.032,0.952,-2.871
13.81453,-48.6702,-8.151,0.93,-2.878
13.81953,-48.6772,-8.305,0.959,-2.884
13.82353,-48.6822,-8.482,0.845,-2.886
13.82553,-48.6902,-8.801,0.824,-2.884
13.82753,-48.6942,-9.024,0.822,-2.887
13.83153,-48.6992,-9.133,0.912,-2.886
13.84153,-48.7082,-9.151,0.839,-2.892
13.85353,-48.7142,-9.153,0.847,-2.891
13.86053,-48.7182,-9.205,0.737,-2.892
13.86853,-48.7242,-9.337,0.81,-2.896
13.87653,-48.7262,-9.463,0.818,-2.896
13.88653,-48.7312,-9.658,0.794,-2.901
13.89253,-48.7352,-9.75,0.822,-2.898
13.89853,-48.7432,-9.969,0.77,-2.908
13.90053,-48.7462,-10.072,0.868,-2.905
13.90553,-48.7512,-10.354,0.739,-2.907
13.90953,-48.7532,-10.452,0.831,-2.905
13.91253,-48.7532,-10.469,0.779,-2.9
13.91753,-48.7552,-10.475,0.823,-2.896
13.92353,-48.7562,-10.424,0.936,-2.899
13.92953,-48.7582,-10.287,0.986,-2.904
13.93753,-48.7602,-10.276,0.909,-2.906
13.94653,-48.7622,-10.448,0.863,-2.894
13.94853,-48.7622,-10.563,0.85,-2.898
13.95053,-48.7632,-10.5,1.127,-2.9
13.96053,-48.7672,-10.432,1.009,-2.904
13.97153,-48.7692,-10.478,0.969,-2.898
13.98153,-48.7712,-10.565,0.903,-2.896
13.98953,-48.7722,-10.588,1.048,-2.892
13.99653,-48.7752,-10.497,1.075,-2.894
14.00253,-48.7812,-10.447,1.15,-2.89
14.01053,-48.7852,-10.391,1.09,-2.896
14.01953,-48.7882,-10.374,1.176,-2.897
14.02753,-48.7902,-10.403,1.042,-2.897
14.03453,-48.7932,-10.473,1.044,-2.895
14.04053,-48.7942,-10.467,1.043,-2.897
14.04753,-48.7952,-10.427,1.066,-2.899
14.05653,-48.7982,-10.422,1.014,-2.898
14.06153,-48.8012,-10.451,0.978,-2.898
14.07653,-48.8042,-10.458,1.01,-2.897
14.09653,-48.8112,-10.431,1.002,-2.894
14.10453,-48.8152,-10.403,1.004,-2.894
14.11053,-48.8182,-10.352,1.067,-2.892
14.11553,-48.8232,-10.306,1.061,-2.893
14.12353,-48.8292,-10.239,1.088,-2.898
14.12853,-48.8322,-10.216,1.044,-2.897
14.13553,-48.8372,-10.286,0.953,-2.899
14.14453,-48.8402,-10.333,1.007,-2.891
14.15153,-48.8432,-10.345,0.954,-2.894
14.16253,-48.8502,-10.282,1.126,-2.889
14.17653,-48.8602,-10.174,1.023,-2.883
14.18953,-48.8682,-10.129,1.138,-2.876
14.20253,-48.8762,-9.916,1.205,-2.872
14.22053,-48.8932,-9.559,1.268,-2.878
14.23553,-48.9042,-9.409,1.312,-2.878
14.24953,-48.9122,-9.369,1.152,-2.885
14.26853,-48.9202,-9.456,1.204,-2.883
14.27953,-48.9242,-9.554,1.051,-2.883
14.29153,-48.9292,-9.705,1.162,-2.877
14.30553,-48.9342,-9.711,1.154,-2.877
14.31653,-48.9432,-9.548,1.248,-2.875
14.32253,-48.9502,-9.467,1.225,-2.871
14.32953,-48.9612,-9.362,1.245,-2.858
14.34153,-48.9702,-9.181,1.273,-2.858
14.35153,-48.9752,-8.942,1.507,-2.855
14.35853,-48.9792,-8.603,1.389,-2.861
14.37053,-48.9922,-8.368,1.399,-2.864
14.38553,-49.0012,-8.355,1.181,-2.865
14.41153,-49.0042,-8.477,1.213,-2.866
14.41953,-49.0052,-8.523,1.228,-2.865
14.42853,-49.0122,-8.68,1.253,-2.866
14.43553,-49.0152,-8.697,1.268,-2.865
14.44153,-49.0192,-8.649,1.219,-2.863
14.45053,-49.0232,-8.648,1.259,-2.859
14.45553,-49.0262,-8.63,1.393,-2.856
14.46153,-49.0292,-8.519,1.346,-2.854
14.46553,-49.0322,-8.407,1.411,-2.857
14.46953,-49.0352,-8.225,1.392,-2.856
14.47853,-49.0392,-8.189,1.318,-2.857
14.48153,-49.0402,-8.171,1.327,-2.854
14.48553,-49.0412,-8.136,1.29,-2.856
14.48853,-49.0442,-8.111,1.348,-2.851
14.49353,-49.0482,-8.093,1.31,-2.85
14.49753,-49.0542,-8.021,1.4,-2.842
14.50153,-49.0602,-7.937,1.411,-2.846
14.50753,-49.0662,-7.747,1.524,-2.839
14.52253,-49.0722,-7.599,1.4,-2.838
14.53253,-49.0752,-7.427,1.501,-2.828
14.53953,-49.0802,-7.255,1.481,-2.827
14.54953,-49.0882,-6.83,1.565,-2.828
14.56053,-49.0982,-6.514,1.504,-2.826
14.56853,-49.1002,-6.542,1.494,-2.82
14.57753,-49.0992,-6.531,1.544,-2.812
14.58653,-49.1002,-6.401,1.63,-2.809
14.59053,-49.1042,-5.899,1.646,-2.808
14.59253,-49.1092,-5.609,1.642,-2.807
14.59453,-49.1112,-5.502,1.635,-2.81
14.59753,-49.1122,-5.455,1.665,-2.811
14.60053,-49.1122,-5.484,1.602,-2.811
14.60053,-49.1102,-5.508,1.589,-2.804
14.60253,-49.1102,-5.508,1.582,-2.802
14.60453,-49.1122,-5.378,1.693,-2.791
14.60753,-49.1152,-5.053,1.929,-2.792
14.61253,-49.1202,-4.597,1.708,-2.789
14.61853,-49.1262,-4.358,1.666,-2.796
14.62253,-49.1322,-4.324,1.731,-2.793
14.62553,-49.1372,-4.392,1.61,-2.792
14.62653,-49.1372,-4.415,1.659,-2.796
14.62753,-49.1382,-4.397,1.699,-2.793
14.62753,-49.1382,-4.438,1.615,-2.797
14.62753,-49.1382,-4.39,1.652,-2.793
14.62753,-49.1392,-4.449,1.578,-2.792
14.62853,-49.1372,-4.444,1.681,-2.792
14.63053,-49.1362,-4.421,1.7,-2.787
14.62953,-49.1362,-4.369,1.685,-2.795
14.62853,-49.1362,-4.292,1.779,-2.791
14.62953,-49.1382,-4.309,1.581,-2.791
14.63153,-49.1382,-4.302,1.668,-2.789
14.63453,-49.1442,-4.268,1.667,-2.794
14.63753,-49.1502,-4.164,1.682,-2.79
14.64153,-49.1542,-4.232,1.599,-2.782
14.64753,-49.1552,-4.219,1.678,-2.78
14.65153,-49.1602,-3.967,1.783,-2.789
14.65453,-49.1682,-3.755,1.762,-2.793
14.66353,-49.1762,-3.884,1.614,-2.792
14.66753,-49.1762,-3.966,1.537,-2.786
14.67753,-49.1812,-4.104,1.597,-2.786
14.68453,-49.1872,-3.992,1.691,-2.781
14.69153,-49.1962,-3.873,1.671,-2.789
14.70753,-49.2092,-3.559,1.673,-2.789
14.72053,-49.2142,-3.619,1.519,-2.793
14.73153,-49.2172,-3.77,1.563,-2.789
14.74153,-49.2182,-3.864,1.485,-2.786
14.75353,-49.2212,-3.813,1.575,-2.781
14.76053,-49.2252,-3.762,1.64,-2.784
14.77153,-49.2342,-3.563,1.672,-2.787
14.77853,-49.2392,-3.553,1.628,-2.788
14.78753,-49.2392,-3.617,1.573,-2.786
14.79153,-49.2402,-3.64,1.535,-2.788
14.79553,-49.2402,-3.622,1.591,-2.784
14.79953,-49.2402,-3.634,1.539,-2.785
14.80453,-49.2442,-3.571,1.623,-2.784
14.80853,-49.2492,-3.531,1.586,-2.785
14.81153,-49.2502,-3.517,1.594,-2.784
14.81453,-49.2512,-3.504,1.58,-2.783
14.81453,-49.2542,-3.484,1.601,-2.786
14.81553,-49.2592,-3.444,1.599,-2.79
