x (nm),y (nm),zpen (mm),F (N),zstm (nm)
-387.082,-378.091,-28.487,1.599,-11.428
-387.079,-378.081,-30.063,1.858,-11.428
-387.08,-378.073,-31.101,2.034,-11.428
-387.083,-378.065,-31.907,2.199,-11.428
-387.084,-378.057,-32.651,2.371,-11.428
-387.086,-378.051,-33.591,2.585,-11.428
-387.087,-378.049,-34.246,2.754,-11.428
-387.083,-378.058,-34.758,2.884,-11.428
-387.078,-378.086,-35.371,3.037,-11.428
-387.089,-378.093,-35.504,3.074,-11.428
-387.103,-378.102,-35.75,3.171,-11.428
-387.117,-378.104,-36.11,3.296,-11.428
-387.121,-378.104,-36.545,3.438,-11.428
-387.113,-378.102,-36.483,3.354,-11.428
-387.123,-378.098,-35.916,3.123,-11.428
-387.151,-378.089,-34.837,2.736,-11.428
-387.167,-378.084,-34.164,2.512,-11.428
-387.196,-378.079,-32.3,1.994,-11.428
-387.206,-378.097,-30.177,1.543,-11.428
-387.24,-378.157,-26.224,0.938,-11.428
-387.285,-378.212,-22.963,0.577,-11.427
-387.306,-378.24,-20.935,0.392,-11.427
-387.356,-378.303,-16.048,0.076,-11.427
-387.368,-378.319,-15.079,0.036,-11.427
-387.412,-378.359,-11.706,-0.043,-11.427
-387.445,-378.38,-9.816,-0.023,-11.427
-387.481,-378.398,-8.184,-0.022,-11.427
-387.529,-378.407,-6.769,-0.019,-11.427
-387.57,-378.413,-5.915,-0.023,-11.427
-387.633,-378.419,-5.024,0.01,-11.427
-387.674,-378.419,-4.612,0.019,-11.427
-387.704,-378.417,-4.406,0.022,-11.427
-387.742,-378.418,-4.204,0.017,-11.427
-387.801,-378.429,-3.736,-0.042,-11.426
-387.913,-378.439,-3.126,-0.042,-11.426
-388.019,-378.43,-2.878,-0.023,-11.426
-388.249,-378.412,-2.802,0.001,-11.426
-388.316,-378.409,-2.802,-0.001,-11.426
-388.488,-378.4,-2.735,-0.014,-11.426
-388.651,-378.387,-2.704,0.002,-11.426
-389.06,-378.335,-3.036,0.027,-11.426
-389.118,-378.327,-3.115,0.02,-11.425
-389.275,-378.313,-3.292,0.013,-11.425
-389.416,-378.302,-3.359,0.004,-11.425
-389.603,-378.297,-3.397,0.007,-11.425
-389.745,-378.304,-3.704,0.031,-11.424
-389.816,-378.305,-4.054,0.071,-11.424
-389.863,-378.304,-4.304,0.053,-11.424
-389.918,-378.296,-4.382,0.041,-11.423
-389.973,-378.293,-4.388,0.041,-11.424
-390.062,-378.28,-4.392,0.042,-11.423
-390.117,-378.26,-4.4,0.044,-11.423
-390.147,-378.247,-4.416,0.045,-11.422
-390.222,-378.198,-4.491,0.047,-11.422
-390.281,-378.161,-4.548,0.05,-11.422
-390.304,-378.15,-4.57,0.049,-11.421
-390.377,-378.118,-4.645,0.048,-11.421
-390.434,-378.107,-4.708,0.05,-11.421
-390.492,-378.105,-4.728,0.046,-11.421
-390.551,-378.107,-4.701,0.043,-11.421
-390.704,-378.113,-4.765,0.053,-11.42
-390.832,-378.126,-5,0.073,-11.42
-390.935,-378.147,-5.314,0.085,-11.419
-391.085,-378.21,-5.739,0.074,-11.419
-391.208,-378.264,-5.706,0.05,-11.419
-391.244,-378.272,-5.674,0.052,-11.419
-391.372,-378.311,-5.583,0.056,-11.418
-391.454,-378.329,-5.651,0.07,-11.418
-391.497,-378.335,-5.892,0.084,-11.418
-391.527,-378.338,-6.03,0.077,-11.418
-391.597,-378.344,-6.031,0.062,-11.417
-391.657,-378.348,-5.984,0.062,-11.417
-391.712,-378.348,-5.973,0.064,-11.417
-391.761,-378.343,-5.96,0.064,-11.417
-391.833,-378.353,-5.853,0.06,-11.416
-391.85,-378.349,-5.866,0.066,-11.416
-391.852,-378.348,-5.88,0.064,-11.416
-391.848,-378.348,-5.893,0.062,-11.416
-391.849,-378.356,-5.85,0.053,-11.416
-391.856,-378.37,-5.785,0.056,-11.416
-391.867,-378.378,-5.749,0.059,-11.416
-391.872,-378.378,-5.746,0.06,-11.415
-391.885,-378.376,-5.756,0.062,-11.415
-391.896,-378.377,-5.747,0.059,-11.415
-391.924,-378.389,-5.691,0.052,-11.415
-391.985,-378.415,-5.542,0.045,-11.415
-392.034,-378.426,-5.472,0.05,-11.414
-392.083,-378.431,-5.443,0.054,-11.414
-392.155,-378.428,-5.433,0.057,-11.414
-392.208,-378.426,-5.417,0.053,-11.414
-392.251,-378.43,-5.369,0.048,-11.414
-392.291,-378.44,-5.291,0.044,-11.414
-392.33,-378.449,-5.215,0.045,-11.414
-392.371,-378.451,-5.16,0.048,-11.414
-392.417,-378.444,-5.17,0.054,-11.414
-392.443,-378.439,-5.191,0.053,-11.414
-392.485,-378.444,-5.16,0.048,-11.413
-392.528,-378.454,-5.09,0.047,-11.413
-392.54,-378.453,-5.083,0.048,-11.413
-392.565,-378.446,-5.097,0.053,-11.413
-392.608,-378.434,-5.184,0.058,-11.413
-392.638,-378.427,-5.267,0.063,-11.413
-392.678,-378.425,-5.34,0.059,-11.413
-392.707,-378.425,-5.427,0.069,-11.413
-392.731,-378.429,-5.521,0.071,-11.413
-392.747,-378.434,-5.653,0.076,-11.413
-392.754,-378.441,-5.765,0.074,-11.413
-392.755,-378.448,-5.841,0.07,-11.412
-392.758,-378.46,-5.82,0.059,-11.412
-392.762,-378.472,-5.771,0.059,-11.412
-392.763,-378.474,-5.764,0.059,-11.412
-392.764,-378.479,-5.75,0.059,-11.412
-392.766,-378.488,-5.735,0.058,-11.411
-392.771,-378.504,-5.685,0.057,-11.411
-392.775,-378.519,-5.642,0.056,-11.411
-392.778,-378.53,-5.595,0.052,-11.411
-392.778,-378.536,-5.577,0.054,-11.411
-392.782,-378.555,-5.445,0.045,-11.411
-392.789,-378.568,-5.327,0.046,-11.41
-392.797,-378.577,-5.259,0.051,-11.41
-392.803,-378.58,-5.258,0.054,-11.41
-392.804,-378.584,-5.243,0.053,-11.409
-392.807,-378.596,-5.181,0.05,-11.409
-392.817,-378.596,-5.174,0.054,-11.409
-392.831,-378.594,-5.18,0.057,-11.408
-392.849,-378.587,-5.198,0.06,-11.408
-392.854,-378.584,-5.202,0.055,-11.408
-392.852,-378.588,-5.191,0.051,-11.408
-392.851,-378.587,-5.195,0.053,-11.407
-392.85,-378.588,-5.195,0.054,-11.407
-392.85,-378.589,-5.191,0.052,-11.407
-392.852,-378.586,-5.209,0.055,-11.407
-392.857,-378.583,-5.29,0.057,-11.406
-392.86,-378.579,-5.337,0.058,-11.406
-392.86,-378.579,-5.337,0.055,-11.406
-392.86,-378.579,-5.337,0.055,-11.406
-392.861,-378.582,-5.326,0.052,-11.406
-392.862,-378.58,-5.319,0.055,-11.405
-392.865,-378.58,-5.305,0.055,-11.405
-392.869,-378.583,-5.279,0.05,-11.405
-392.869,-378.584,-5.275,0.054,-11.405
-392.869,-378.59,-5.246,0.051,-11.405
-392.869,-378.597,-5.164,0.044,-11.405
-392.869,-378.598,-5.135,0.044,-11.405
-392.868,-378.594,-5.048,0.052,-11.404
-392.868,-378.591,-5.069,0.055,-11.404
-392.87,-378.591,-5.094,0.056,-11.404
-392.87,-378.592,-5.09,0.05,-11.404
-392.87,-378.592,-5.09,0.052,-11.404
-392.871,-378.594,-5.083,0.051,-11.403
-392.871,-378.597,-5.061,0.049,-11.403
-392.871,-378.596,-5.065,0.051,-11.403
-392.871,-378.594,-5.083,0.052,-11.403
-392.871,-378.594,-5.083,0.05,-11.402
-392.872,-378.594,-5.083,0.049,-11.402
-392.874,-378.592,-5.087,0.052,-11.402
-392.874,-378.593,-5.083,0.051,-11.402
-392.873,-378.595,-5.079,0.052,-11.402
-392.874,-378.597,-5.072,0.051,-11.401
-392.876,-378.602,-5.042,0.049,-11.401
-392.876,-378.603,-5.039,0.05,-11.401
-392.877,-378.607,-5.027,0.048,-11.401
-392.877,-378.607,-5.013,0.049,-11.401
-392.878,-378.612,-5.012,0.049,-11.4
-392.881,-378.62,-4.985,0.047,-11.4
-392.884,-378.629,-4.955,0.045,-11.4
-392.889,-378.64,-4.931,0.049,-11.4
-392.894,-378.648,-4.925,0.049,-11.399
-392.894,-378.65,-4.932,0.048,-11.399
-392.893,-378.649,-4.936,0.049,-11.399
-392.891,-378.646,-4.962,0.055,-11.398
-392.891,-378.646,-4.972,0.049,-11.398
-392.888,-378.645,-5.005,0.051,-11.398
-392.885,-378.644,-5.008,0.05,-11.398
-392.885,-378.642,-5.002,0.051,-11.398
-392.885,-378.639,-5.024,0.055,-11.398
-392.883,-378.628,-5.122,0.056,-11.398
-392.882,-378.628,-5.147,0.058,-11.398
-392.882,-378.626,-5.19,0.058,-11.398
-392.88,-378.626,-5.218,0.054,-11.397
-392.88,-378.626,-5.204,0.049,-11.397
-392.88,-378.625,-5.208,0.055,-11.397
-392.88,-378.625,-5.208,0.053,-11.397
-392.879,-378.623,-5.215,0.053,-11.397
-392.878,-378.621,-5.233,0.058,-11.397
-392.879,-378.622,-5.244,0.054,-11.397
-392.879,-378.623,-5.265,0.054,-11.396
-392.88,-378.623,-5.275,0.054,-11.396
-392.88,-378.62,-5.297,0.056,-11.396
-392.88,-378.619,-5.301,0.055,-11.396
-392.878,-378.616,-5.362,0.056,-11.396
-392.878,-378.616,-5.372,0.055,-11.396
-392.878,-378.616,-5.372,0.055,-11.396
-392.879,-378.613,-5.408,0.061,-11.396
-392.879,-378.611,-5.451,0.061,-11.396
-392.881,-378.61,-5.565,0.069,-11.396
-392.882,-378.608,-5.717,0.07,-11.396
-392.881,-378.605,-5.927,0.076,-11.396
-392.88,-378.602,-6.086,0.085,-11.396
-392.879,-378.598,-6.236,0.088,-11.396
-392.878,-378.594,-6.399,0.089,-11.396
-392.879,-378.591,-6.594,0.091,-11.396
-392.885,-378.586,-6.765,0.093,-11.396
-392.896,-378.583,-7.162,0.116,-11.396
-392.901,-378.578,-7.57,0.138,-11.396
-392.906,-378.576,-7.996,0.16,-11.396
-392.922,-378.578,-9.512,0.221,-11.396
-392.934,-378.586,-10.491,0.261,-11.396
-392.945,-378.591,-11.356,0.295,-11.396
-392.953,-378.592,-12.336,0.34,-11.396
-392.967,-378.582,-14.273,0.422,-11.395
-392.981,-378.568,-15.908,0.493,-11.395
-392.992,-378.558,-17.274,0.551,-11.395
-393.004,-378.551,-18.82,0.608,-11.395
-393.021,-378.551,-20.262,0.671,-11.395
-393.027,-378.551,-20.535,0.684,-11.395
-393.048,-378.545,-21.235,0.729,-11.395
-393.068,-378.54,-21.875,0.777,-11.395
-393.082,-378.533,-22.469,0.823,-11.395
-393.088,-378.53,-23.123,0.865,-11.395
-393.089,-378.533,-23.521,0.895,-11.395
-393.097,-378.542,-24.029,0.943,-11.395
-393.1,-378.544,-24.25,0.975,-11.395
-393.103,-378.547,-24.873,1.064,-11.395
-393.104,-378.55,-25.699,1.185,-11.394
-393.094,-378.542,-27.953,1.497,-11.394
-393.089,-378.538,-28.429,1.562,-11.394
-393.074,-378.529,-29.461,1.707,-11.394
-393.07,-378.524,-30.065,1.811,-11.395
-393.072,-378.519,-30.805,1.959,-11.395
-393.082,-378.512,-31.786,2.172,-11.395
-393.056,-378.515,-32.997,2.467,-11.395
-392.997,-378.512,-33.938,2.71,-11.395
-392.914,-378.509,-35.101,3.041,-11.395
-392.856,-378.503,-35.94,3.293,-11.395
-392.826,-378.496,-36.719,3.54,-11.395
-392.866,-378.493,-37.244,3.674,-11.395
-392.891,-378.498,-37.269,3.675,-11.395
-392.888,-378.506,-37.516,3.803,-11.395
-392.894,-378.514,-38.17,4.09,-11.396
-392.92,-378.512,-38.661,4.253,-11.395
-392.929,-378.519,-38.332,4.042,-11.395
-392.916,-378.534,-37.147,3.49,-11.396
-392.903,-378.546,-33.842,2.37,-11.395
-392.904,-378.549,-33.128,2.191,-11.395
-392.922,-378.577,-30.548,1.651,-11.395
-392.937,-378.611,-28.858,1.332,-11.395
-392.969,-378.708,-24.441,0.669,-11.395
-393,-378.763,-21.445,0.411,-11.395
-393.016,-378.779,-20.246,0.329,-11.395
-393.029,-378.793,-18.414,0.538,-11.395
-393.015,-378.795,-15.945,0.371,-11.396
-392.974,-378.818,-12.453,0.188,-11.396
-392.975,-378.826,-9.916,0.137,-11.396
-392.976,-378.824,-9.492,0.145,-11.395
-392.973,-378.812,-8.692,0.17,-11.396
-392.969,-378.799,-8.353,0.193,-11.396
-392.973,-378.81,-8.052,0.181,-11.395
-392.982,-378.839,-7.435,0.138,-11.395
-392.991,-378.871,-6.464,0.098,-11.396
-392.994,-378.882,-5.953,0.092,-11.396
-392.996,-378.892,-5.435,0.097,-11.396
-392.998,-378.896,-5.292,0.099,-11.396
-393,-378.909,-5.11,0.109,-11.396
-393,-378.936,-4.906,0.109,-11.396
-392.987,-378.939,-4.754,0.105,-11.396
-392.973,-378.937,-4.608,0.099,-11.395
-392.969,-378.937,-4.445,0.1,-11.395
-392.977,-378.952,-4.26,0.091,-11.395
-392.98,-378.975,-3.935,0.065,-11.396
-392.98,-379.008,-3.022,0.006,-11.396
-392.982,-379.043,-1.994,-0.035,-11.396
-392.989,-379.075,-0.835,-0.062,-11.396
-392.994,-379.107,0.562,-0.134,-11.396
-392.986,-379.124,2.081,-0.159,-11.395
-392.961,-379.146,4.976,-0.194,-11.395
-392.94,-379.165,8.583,-0.191,-11.395
-392.943,-379.171,10.182,-0.172,-11.395
-392.946,-379.181,11.442,-0.114,-11.395
-392.945,-379.237,13.044,-0.089,-11.396
-392.954,-379.351,16.171,-0.162,-11.396
-392.966,-379.375,17.614,-0.162,-11.396
-392.974,-379.412,20.544,-0.18,-11.396
-392.993,-379.498,24.643,-0.262,-11.396
-393.019,-379.573,29.454,-0.338,-11.395
-393.035,-379.608,33.935,-0.364,-11.395
-393.052,-379.64,38.148,-0.37,-11.395
-393.068,-379.713,43.883,-0.368,-11.395
-393.08,-379.795,49.156,-0.33,-11.395
-393.063,-379.835,52.306,-0.28,-11.395
-393.03,-379.838,56.053,-0.136,-11.395
-393.026,-379.835,57.089,-0.082,-11.395
-393.018,-379.853,57.795,-0.062,-11.395
-393.022,-379.876,58.779,-0.031,-11.395
-393.017,-379.862,58.818,0.015,-11.395
-393.008,-379.851,58.518,0.03,-11.395
-393,-379.854,58.124,0.034,-11.395
-393.009,-379.874,57.317,0.073,-11.395
-393.017,-379.883,56.922,0.09,-11.395
-393.028,-379.91,55.772,0.13,-11.396
-393.016,-380.004,52.924,0.159,-11.396
-393.002,-380.077,51.358,0.152,-11.395
-392.994,-380.161,49.88,0.145,-11.395
-393.004,-380.247,48.349,0.14,-11.395
-393.019,-380.297,47.21,0.147,-11.395
-393.038,-380.362,45.378,0.16,-11.396
-393.051,-380.41,43.99,0.17,-11.396
-393.072,-380.513,41.753,0.173,-11.396
-393.103,-380.632,39.845,0.154,-11.396
-393.141,-380.735,38.238,0.141,-11.396
-393.194,-380.855,36.426,0.118,-11.396
-393.228,-380.996,35.009,0.061,-11.396
-393.239,-381.048,34.754,0.014,-11.396
-393.244,-381.06,34.735,0.001,-11.395
-393.246,-381.055,34.827,-0.014,-11.395
-393.241,-381.028,34.873,-0.003,-11.395
-393.221,-380.967,35.081,-0.021,-11.395
-393.211,-380.938,35.6,-0.046,-11.395
-393.212,-380.913,35.98,-0.05,-11.395
-393.22,-380.875,36.448,-0.038,-11.395
-393.217,-380.836,36.678,-0.02,-11.395
-393.191,-380.788,37.048,-0.033,-11.395
-393.186,-380.786,37.705,-0.051,-11.394
-393.188,-380.784,38.21,-0.056,-11.394
-393.183,-380.758,38.823,-0.041,-11.394
-393.17,-380.719,39.133,-0.019,-11.394
-393.163,-380.704,39.333,-0.022,-11.394
-393.151,-380.697,39.867,-0.025,-11.394
-393.151,-380.686,40.185,-0.018,-11.394
-393.147,-380.683,40.46,-0.034,-11.394
-393.136,-380.686,40.864,-0.027,-11.394
-393.133,-380.687,41.535,-0.016,-11.394
-393.127,-380.691,41.895,-0.025,-11.394
-393.105,-380.681,42.513,-0.002,-11.394
-393.098,-380.698,42.656,-0.008,-11.395
-393.093,-380.705,42.732,-0.002,-11.395
-393.088,-380.696,42.77,-0.003,-11.394
-393.087,-380.686,42.737,0.006,-11.394
-393.09,-380.685,42.665,0.003,-11.394
-393.09,-380.686,42.648,0.001,-11.395
-393.092,-380.688,42.631,0.002,-11.395
-393.098,-380.689,42.588,0.004,-11.395
-393.099,-380.688,42.57,0.004,-11.395
-393.099,-380.689,42.58,-0.001,-11.395
-393.099,-380.691,42.599,-0.002,-11.395
-393.106,-380.69,42.617,0,-11.394
-393.123,-380.68,42.569,0.003,-11.394
-393.123,-380.679,42.559,0,-11.394
-393.124,-380.683,42.58,-0.001,-11.394
-393.125,-380.688,42.619,-0.005,-11.394
-393.127,-380.694,42.677,0,-11.395
-393.125,-380.69,42.629,0.001,-11.395
-393.134,-380.687,42.647,0,-11.394
-393.132,-380.69,42.639,0.002,-11.394
-393.131,-380.691,42.639,0,-11.394
-393.13,-380.691,42.639,0,-11.394
-393.131,-380.691,42.639,0,-11.394
-393.133,-380.69,42.639,0,-11.395
-393.132,-380.69,42.639,0,-11.394
-393.132,-380.69,42.639,0,-11.394
-393.13,-380.693,42.641,0,-11.394
-393.128,-380.694,42.641,0,-11.394
-393.128,-380.694,42.632,0.001,-11.394
-393.132,-380.698,42.68,-0.008,-11.394
-393.138,-380.701,42.718,0,-11.394
-393.136,-380.695,42.661,-0.005,-11.394
-393.137,-380.699,42.717,-0.009,-11.394
-393.14,-380.699,42.727,0.002,-11.395
-393.142,-380.697,42.708,0.001,-11.394
-393.14,-380.697,42.708,0,-11.394
-393.14,-380.698,42.699,0.004,-11.394
-393.14,-380.698,42.699,0,-11.394
-393.14,-380.698,42.699,0,-11.394
-393.14,-380.698,42.699,0,-11.394
-393.14,-380.698,42.699,0,-11.394
-393.14,-380.699,42.691,0.001,-11.394
-393.141,-380.701,42.674,0,-11.394
-393.139,-380.703,42.675,0,-11.394
-393.138,-380.703,42.675,0,-11.394
-393.138,-380.703,42.675,0,-11.395
-393.139,-380.703,42.675,0,-11.394
-393.139,-380.704,42.667,0,-11.394
-393.139,-380.704,42.667,0,-11.394
-393.139,-380.704,42.667,0,-11.394
-393.139,-380.704,42.667,0,-11.394
-393.139,-380.704,42.667,0,-11.394
-393.138,-380.705,42.658,0,-11.394
-393.139,-380.707,42.641,0,-11.394
-393.138,-380.704,42.621,0.004,-11.394
-393.137,-380.699,42.583,0.004,-11.394
-393.136,-380.695,42.544,0.003,-11.394
-393.136,-380.694,42.517,0.002,-11.394
-393.136,-380.695,42.508,0.002,-11.394
-393.136,-380.697,42.491,0.001,-11.394
-393.137,-380.699,42.493,0,-11.394
-393.137,-380.699,42.493,0,-11.394
-393.137,-380.699,42.493,0,-11.394
-393.137,-380.699,42.493,0,-11.394
-393.137,-380.698,42.501,0,-11.394
-393.137,-380.698,42.501,0,-11.394
-393.137,-380.698,42.501,0,-11.394
-393.137,-380.698,42.501,0,-11.394
-393.136,-380.697,42.491,0,-11.394
-393.136,-380.696,42.482,0,-11.394
-393.136,-380.697,42.491,0,-11.394
-393.136,-380.698,42.491,0.003,-11.394
-393.136,-380.696,42.5,0,-11.394
-393.137,-380.698,42.501,0.001,-11.394
-393.137,-380.698,42.501,0,-11.394
-393.136,-380.697,42.491,0.003,-11.394
-393.136,-380.697,42.491,0,-11.394
-393.136,-380.694,42.463,0,-11.394
-393.135,-380.693,42.453,0.001,-11.394
-393.136,-380.691,42.434,0.003,-11.394
-393.135,-380.691,42.434,0,-11.394
-393.133,-380.692,42.434,0,-11.394
-393.133,-380.691,42.424,0.002,-11.394
-393.132,-380.685,42.367,0.003,-11.394
-393.132,-380.685,42.367,0,-11.394
-393.132,-380.685,42.367,0,-11.394
-393.132,-380.685,42.349,0.001,-11.394
-393.132,-380.683,42.33,0.001,-11.394
-393.131,-380.683,42.312,0,-11.394
-393.132,-380.685,42.287,0.001,-11.394
-393.133,-380.687,42.27,0,-11.394
-393.133,-380.684,42.241,0.003,-11.394
-393.132,-380.679,42.211,0.001,-11.394
-393.131,-380.672,42.145,0.003,-11.394
-393.131,-380.672,42.145,0,-11.394
-393.13,-380.673,42.136,0,-11.394
-393.13,-380.672,42.127,0.003,-11.394
-393.13,-380.672,42.127,0,-11.394
-393.13,-380.672,42.127,0,-11.394
-393.13,-380.672,42.127,0,-11.394
-393.129,-380.67,42.098,0.004,-11.394
-393.127,-380.661,42.012,0.009,-11.394
-393.124,-380.65,41.89,0.009,-11.394
-393.124,-380.652,41.891,-0.003,-11.394
-393.125,-380.654,41.892,0,-11.394
-393.124,-380.651,41.864,0.005,-11.394
-393.123,-380.648,41.835,0.003,-11.394
-393.124,-380.649,41.845,-0.004,-11.394
-393.125,-380.649,41.845,0,-11.394
-393.124,-380.646,41.816,0,-11.394
-393.122,-380.64,41.75,0.007,-11.394
-393.123,-380.632,41.603,0.008,-11.394
-393.127,-380.633,41.551,0.006,-11.394
-393.143,-380.634,41.268,0.028,-11.394
-393.157,-380.635,40.824,0.051,-11.394
-393.176,-380.636,39.988,0.072,-11.394
-393.192,-380.638,38.937,0.097,-11.394
-393.201,-380.637,37.903,0.124,-11.394
-393.214,-380.627,36.261,0.176,-11.394
-393.223,-380.604,32.77,0.263,-11.394
-393.244,-380.575,26.924,0.249,-11.394
-393.244,-380.565,24.732,0.22,-11.394
-393.239,-380.549,22.902,0.199,-11.394
-393.219,-380.497,19.628,0.159,-11.394
-393.195,-380.47,18.039,0.113,-11.394
-393.189,-380.455,17.339,0,-11.394
-393.198,-380.43,16.284,0.051,-11.394
-393.214,-380.421,15.393,0.068,-11.394
-393.221,-380.415,14.705,0.081,-11.394
-393.222,-380.408,14.029,0.087,-11.394
-393.213,-380.396,13.123,0.091,-11.394
-393.189,-380.38,11.377,0.102,-11.394
-393.174,-380.373,10.324,0.111,-11.394
-393.152,-380.357,9.013,0.123,-11.394
-393.141,-380.35,8.434,0.129,-11.394
-393.111,-380.317,6.511,0.153,-11.394
-393.095,-380.287,4.916,0.161,-11.395
-393.065,-380.236,1.835,0.129,-11.395
-393.062,-380.223,0.889,0.095,-11.395
-393.061,-380.213,0.226,0.108,-11.395
-393.065,-380.205,-0.595,0.104,-11.395
-393.074,-380.195,-1.362,0.136,-11.395
-393.082,-380.189,-2.161,0.162,-11.395
-393.086,-380.198,-4.014,0.206,-11.395
-393.087,-380.205,-4.385,0.207,-11.395
-393.09,-380.238,-5.211,0.202,-11.395
-393.096,-380.274,-5.82,0.205,-11.395
-393.108,-380.357,-7.298,0.282,-11.395
-393.104,-380.414,-8.398,0.308,-11.395
-393.084,-380.464,-9.14,0.295,-11.395
-393.066,-380.521,-9.246,0.24,-11.395
-393.07,-380.524,-9.224,0.246,-11.395
-393.082,-380.527,-9.242,0.26,-11.395
-393.095,-380.52,-9.622,0.305,-11.395
-393.085,-380.504,-10.455,0.364,-11.395
-393.08,-380.499,-10.738,0.376,-11.395
-393.056,-380.493,-11.424,0.401,-11.395
-393.021,-380.495,-12.173,0.415,-11.395
-393.021,-380.497,-12.642,0.44,-11.395
-393.02,-380.503,-13.209,0.484,-11.395
-393.003,-380.512,-14.046,0.528,-11.395
-392.976,-380.516,-14.48,0.539,-11.395
-392.951,-380.519,-14.719,0.549,-11.395
-392.916,-380.527,-15.033,0.57,-11.395
-392.883,-380.534,-15.445,0.601,-11.396
-392.865,-380.532,-15.682,0.614,-11.396
-392.832,-380.515,-16.201,0.657,-11.396
-392.813,-380.5,-16.532,0.676,-11.396
-392.791,-380.47,-17.08,0.712,-11.396
-392.783,-380.449,-17.545,0.768,-11.396
-392.776,-380.42,-18.402,0.841,-11.396
-392.773,-380.407,-19.049,0.894,-11.397
-392.762,-380.41,-19.754,0.933,-11.397
-392.749,-380.418,-20,0.951,-11.397
-392.735,-380.429,-20.415,0.998,-11.397
-392.735,-380.431,-20.727,1.043,-11.397
-392.74,-380.435,-21.14,1.093,-11.397
-392.741,-380.436,-21.511,1.133,-11.397
-392.737,-380.434,-21.813,1.127,-11.397
-392.738,-380.432,-21.818,1.121,-11.397
-392.74,-380.432,-21.858,1.139,-11.397
-392.742,-380.43,-21.932,1.162,-11.397
-392.748,-380.43,-22.176,1.203,-11.397
-392.746,-380.439,-22.549,1.242,-11.397
-392.747,-380.451,-22.822,1.273,-11.397
-392.75,-380.461,-23.077,1.312,-11.397
-392.752,-380.467,-23.234,1.335,-11.397
-392.763,-380.47,-23.409,1.357,-11.397
-392.782,-380.47,-23.46,1.354,-11.397
-392.808,-380.471,-23.434,1.338,-11.397
-392.851,-380.468,-23.362,1.334,-11.397
-392.884,-380.465,-23.319,1.328,-11.397
-392.909,-380.459,-23.291,1.31,-11.396
-392.946,-380.443,-23.26,1.309,-11.396
-392.977,-380.427,-23.287,1.323,-11.396
-393.008,-380.414,-23.333,1.322,-11.396
-393.056,-380.401,-23.391,1.329,-11.396
-393.086,-380.395,-23.382,1.319,-11.396
-393.06,-380.4,-23.374,1.316,-11.395
-393.029,-380.406,-23.4,1.321,-11.395
-392.993,-380.416,-23.436,1.352,-11.395
-392.938,-380.431,-23.448,1.369,-11.395
-392.87,-380.449,-23.444,1.38,-11.395
-392.808,-380.467,-23.423,1.389,-11.395
-392.745,-380.481,-23.37,1.39,-11.396
-392.709,-380.491,-23.324,1.394,-11.396
-392.684,-380.499,-23.275,1.398,-11.396
-392.654,-380.508,-23.167,1.368,-11.396
-392.611,-380.537,-23.03,1.351,-11.397
-392.586,-380.561,-22.974,1.337,-11.397
-392.56,-380.585,-22.923,1.329,-11.397
-392.533,-380.61,-22.867,1.327,-11.397
-392.5,-380.645,-22.79,1.314,-11.397
-392.477,-380.662,-22.784,1.315,-11.398
-392.388,-380.715,-22.654,1.277,-11.398
-392.371,-380.731,-22.607,1.268,-11.399
-392.357,-380.753,-22.52,1.264,-11.399
-392.361,-380.764,-22.489,1.258,-11.399
-392.361,-380.767,-22.475,1.24,-11.399
-392.358,-380.77,-22.466,1.229,-11.399
-392.351,-380.771,-22.454,1.219,-11.4
-392.337,-380.766,-22.458,1.221,-11.4
-392.322,-380.757,-22.488,1.217,-11.4
-392.299,-380.745,-22.484,1.214,-11.401
-392.287,-380.736,-22.456,1.191,-11.401
-392.285,-380.715,-22.47,1.19,-11.401
-392.284,-380.707,-22.486,1.19,-11.401
-392.283,-380.699,-22.432,1.168,-11.401
-392.281,-380.696,-22.405,1.162,-11.401
-392.281,-380.695,-22.409,1.167,-11.401
-392.279,-380.692,-22.418,1.172,-11.401
-392.277,-380.692,-22.423,1.169,-11.401
-392.273,-380.682,-22.477,1.181,-11.401
-392.266,-380.674,-22.526,1.18,-11.401
-392.219,-380.657,-22.639,1.205,-11.401
-392.19,-380.644,-22.72,1.224,-11.401
-392.154,-380.623,-23.004,1.279,-11.401
-392.151,-380.608,-23.312,1.321,-11.401
-392.158,-380.605,-23.542,1.362,-11.402
-392.167,-380.607,-23.82,1.402,-11.401
-392.175,-380.616,-24.227,1.455,-11.401
-392.173,-380.617,-24.781,1.544,-11.402
-392.17,-380.611,-25.095,1.591,-11.402
-392.163,-380.589,-25.678,1.662,-11.401
-392.163,-380.584,-25.695,1.654,-11.401
-392.164,-380.578,-25.659,1.653,-11.401
-392.169,-380.577,-25.59,1.644,-11.401
-392.171,-380.584,-25.4,1.586,-11.401
-392.173,-380.599,-24.789,1.436,-11.401
-392.177,-380.618,-23.898,1.276,-11.401
-392.18,-380.634,-23.126,1.178,-11.402
-392.199,-380.645,-23.018,1.275,-11.402
-392.206,-380.643,-23.187,1.309,-11.402
-392.232,-380.63,-24.011,1.448,-11.402
-392.248,-380.618,-24.864,1.576,-11.401
-392.251,-380.618,-25.682,1.698,-11.401
-392.255,-380.635,-26.536,1.87,-11.401
-392.272,-380.66,-27.842,2.079,-11.401
-392.278,-380.654,-27.971,2.114,-11.401
