x (nm),y (nm),zpen (mm),F (N),zstm (nm)
-392.615,-380.89,-11.794,0.835,-11.399
-392.615,-380.891,-11.788,0.795,-11.399
-392.616,-380.891,-11.788,0.795,-11.399
-392.617,-380.891,-11.782,0.795,-11.399
-392.617,-380.891,-11.782,0.783,-11.399
-392.618,-380.891,-11.782,0.792,-11.399
-392.618,-380.893,-11.777,0.786,-11.398
-392.619,-380.898,-11.737,0.788,-11.398
-392.619,-380.9,-11.714,0.789,-11.398
-392.619,-380.898,-11.72,0.801,-11.398
-392.618,-380.896,-11.731,0.804,-11.399
-392.618,-380.896,-11.719,0.8,-11.399
-392.618,-380.894,-11.696,0.78,-11.399
-392.618,-380.894,-11.696,0.777,-11.399
-392.618,-380.894,-11.696,0.777,-11.399
-392.618,-380.894,-11.684,0.761,-11.399
-392.62,-380.892,-11.661,0.759,-11.398
-392.626,-380.886,-11.643,0.765,-11.398
-392.632,-380.883,-11.666,0.78,-11.398
-392.629,-380.881,-11.688,0.785,-11.398
-392.622,-380.884,-11.7,0.786,-11.398
-392.624,-380.882,-11.706,0.793,-11.398
-392.636,-380.877,-11.717,0.796,-11.399
-392.648,-380.874,-11.763,0.803,-11.399
-392.65,-380.873,-11.821,0.806,-11.398
-392.647,-380.874,-11.85,0.816,-11.398
-392.645,-380.871,-11.861,0.819,-11.398
-392.644,-380.869,-11.843,0.817,-11.398
-392.641,-380.867,-11.831,0.829,-11.398
-392.633,-380.852,-11.892,0.863,-11.398
-392.631,-380.845,-11.925,0.873,-11.398
-392.63,-380.842,-11.913,0.863,-11.398
-392.629,-380.837,-11.935,0.88,-11.398
-392.626,-380.837,-11.969,0.875,-11.398
-392.611,-380.839,-11.975,0.885,-11.398
-392.611,-380.837,-11.986,0.894,-11.398
-392.61,-380.834,-11.997,0.9,-11.399
-392.609,-380.83,-12.019,0.908,-11.399
-392.608,-380.823,-12.081,0.909,-11.399
-392.607,-380.82,-12.109,0.911,-11.399
-392.599,-380.818,-12.154,0.924,-11.399
-392.57,-380.818,-12.153,0.918,-11.399
-392.563,-380.815,-12.175,0.926,-11.399
-392.565,-380.813,-12.18,0.969,-11.399
-392.565,-380.813,-12.18,0.951,-11.399
-392.566,-380.811,-12.22,0.967,-11.399
-392.565,-380.81,-12.254,0.948,-11.399
-392.567,-380.81,-12.278,0.957,-11.399
-392.567,-380.808,-12.289,0.954,-11.399
-392.568,-380.805,-12.299,0.958,-11.399
-392.567,-380.801,-12.321,0.959,-11.399
-392.566,-380.8,-12.356,0.969,-11.399
-392.566,-380.798,-12.361,0.967,-11.399
-392.564,-380.797,-12.372,0.971,-11.399
-392.558,-380.797,-12.377,0.984,-11.399
-392.548,-380.798,-12.383,0.986,-11.399
-392.517,-380.798,-12.398,0.999,-11.399
-392.5,-380.798,-12.397,1.019,-11.399
-392.498,-380.798,-12.374,1.034,-11.399
-392.494,-380.798,-12.362,1.002,-11.399
-392.488,-380.8,-12.374,0.984,-11.4
-392.464,-380.805,-12.403,0.996,-11.4
-392.449,-380.807,-12.42,0.975,-11.4
-392.428,-380.811,-12.408,0.985,-11.4
-392.385,-380.816,-12.384,1,-11.4
-392.377,-380.815,-12.407,0.993,-11.4
-392.362,-380.815,-12.423,1.008,-11.4
-392.345,-380.81,-12.461,1.029,-11.4
-392.322,-380.806,-12.498,1.039,-11.401
-392.307,-380.809,-12.498,1.016,-11.401
-392.27,-380.814,-12.509,1.006,-11.401
-392.237,-380.814,-12.536,1.014,-11.401
-392.215,-380.814,-12.558,1.048,-11.401
-392.204,-380.819,-12.53,1.054,-11.401
-392.196,-380.819,-12.535,1.015,-11.401
-392.171,-380.821,-12.563,1.026,-11.402
-392.122,-380.819,-12.583,1.037,-11.402
-392.1,-380.814,-12.608,1.02,-11.402
-392.085,-380.81,-12.612,1.069,-11.402
-392.07,-380.801,-12.591,1.062,-11.402
-392.049,-380.797,-12.611,1.085,-11.402
-392.031,-380.798,-12.622,1.089,-11.402
-392.025,-380.8,-12.588,1.089,-11.402
-392.024,-380.799,-12.564,1.09,-11.402
-392.017,-380.798,-12.575,1.044,-11.402
-391.997,-380.797,-12.608,1.057,-11.402
-391.986,-380.797,-12.619,1.062,-11.403
-391.961,-380.799,-12.629,1.066,-11.403
-391.942,-380.801,-12.618,1.058,-11.402
-391.923,-380.804,-12.577,1.059,-11.403
-391.916,-380.802,-12.467,1.042,-11.403
-391.906,-380.794,-12.51,1.077,-11.403
-391.893,-380.787,-12.547,1.084,-11.403
-391.87,-380.79,-12.523,1.069,-11.403
-391.859,-380.792,-12.523,1.072,-11.403
-391.852,-380.792,-12.5,1.056,-11.403
-391.849,-380.792,-12.5,1.056,-11.403
-391.841,-380.794,-12.5,1.06,-11.403
-391.836,-380.795,-12.5,1.057,-11.403
-391.829,-380.796,-12.5,1.068,-11.403
-391.813,-380.799,-12.512,1.065,-11.403
-391.789,-380.801,-12.488,1.053,-11.403
-391.751,-380.803,-12.436,1.051,-11.403
-391.721,-380.802,-12.445,1.048,-11.404
-391.67,-380.801,-12.442,1.063,-11.404
-391.647,-380.801,-12.458,1.062,-11.404
-391.625,-380.798,-12.484,1.073,-11.404
-391.613,-380.798,-12.494,1.075,-11.404
-391.602,-380.798,-12.5,1.076,-11.405
-391.598,-380.797,-12.505,1.058,-11.405
-391.59,-380.795,-12.521,1.051,-11.405
-391.577,-380.795,-12.543,1.044,-11.405
-391.552,-380.797,-12.536,1.027,-11.405
-391.535,-380.798,-12.542,1.04,-11.405
-391.468,-380.798,-12.55,1.055,-11.406
-391.449,-380.797,-12.582,1.055,-11.406
-391.432,-380.794,-12.632,1.064,-11.406
-391.411,-380.791,-12.601,1.078,-11.406
