Experiment	bias spectroscopy	
-501.00005E-3	-100.12074E-12	1.5775071E+0	1.5605619E+0	-501.00005E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	24.822323E+0	700.94836E-15	0.0000000E+0	3.3270002E-3	289.93629E-15	2.4737916E-12	-103.12966E-12	1.5774980E+0	1.5606232E+0	-501.00005E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	-11.246385E+0	217.09307E-15	0.0000000E+0	3.3270002E-3	337.16617E-15	2.4498637E-12
-495.50003E-3	-99.924874E-12	1.5775057E+0	1.5605587E+0	-495.50003E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	15.391178E+0	409.77619E-15	0.0000000E+0	3.3270002E-3	388.48815E-15	2.4303801E-12	-102.93869E-12	1.5775031E+0	1.5606171E+0	-495.50003E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	-73.960701E+0	400.43378E-15	0.0000000E+0	3.3270002E-3	285.35250E-15	2.4534485E-12
-490.00001E-3	-99.635925E-12	1.5775079E+0	1.5605588E+0	-490.00001E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	-42.619034E+0	309.87843E-15	0.0000000E+0	3.3270002E-3	369.10113E-15	2.4703054E-12	-102.35881E-12	1.5774989E+0	1.5606109E+0	-490.00001E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	18.753202E+0	579.66148E-15	0.0000000E+0	3.3270002E-3	266.06636E-15	2.5124239E-12
-484.50002E-3	-98.978215E-12	1.5775076E+0	1.5605619E+0	-484.50002E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	21.417080E+0	465.39335E-15	0.0000000E+0	3.3270002E-3	336.50030E-15	2.5667456E-12	-101.80841E-12	1.5775008E+0	1.5606183E+0	-484.50002E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	88.362190E+0	379.72015E-15	0.0000000E+0	3.3270002E-3	389.20305E-15	2.4672265E-12
-479.00003E-3	-98.574517E-12	1.5775062E+0	1.5605612E+0	-479.00003E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	88.632378E+0	673.06095E-15	0.0000000E+0	3.3270002E-3	257.05723E-15	2.5849086E-12	-101.64208E-12	1.5775011E+0	1.5606180E+0	-479.00003E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	-46.496639E+0	589.45101E-15	0.0000000E+0	3.3270002E-3	348.22985E-15	2.5270630E-12
-473.50001E-3	-98.120470E-12	1.5775051E+0	1.5605603E+0	-473.50001E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	58.806068E+0	313.03272E-15	0.0000000E+0	3.3270002E-3	273.98269E-15	2.4328909E-12	-101.44652E-12	1.5774921E+0	1.5606198E+0	-473.50001E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	59.785446E+0	391.22091E-15	0.0000000E+0	3.3270002E-3	310.08833E-15	2.3856251E-12
-468.00002E-3	-97.615090E-12	1.5775051E+0	1.5605631E+0	-468.00002E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	17.020044E+0	609.10717E-15	0.0000000E+0	3.3270002E-3	314.36285E-15	2.5408712E-12	-101.24657E-12	1.5774941E+0	1.5606149E+0	-468.00002E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	21.988197E+0	391.68736E-15	0.0000000E+0	3.3270002E-3	271.06369E-15	2.4742977E-12
-462.50004E-3	-97.437315E-12	1.5775079E+0	1.5605576E+0	-462.50004E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	-17.162863E+0	474.64766E-15	0.0000000E+0	3.3270002E-3	335.95446E-15	2.4919921E-12	-100.94573E-12	1.5774879E+0	1.5606154E+0	-462.50004E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	-57.878082E+0	462.61682E-15	0.0000000E+0	3.3270002E-3	319.70542E-15	2.5205419E-12
-457.00002E-3	-97.490002E-12	1.5775077E+0	1.5605525E+0	-457.00002E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	-61.296234E+0	486.07331E-15	0.0000000E+0	3.3270002E-3	252.49581E-15	2.5218144E-12	-100.64381E-12	1.5775009E+0	1.5606183E+0	-457.00002E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	-73.511963E+0	778.39590E-15	0.0000000E+0	3.3270002E-3	314.13939E-15	2.5330165E-12
-451.50003E-3	-97.646273E-12	1.5775037E+0	1.5605620E+0	-451.50003E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	5.4250345E+0	342.24346E-15	0.0000000E+0	3.3270002E-3	446.05189E-15	2.4700979E-12	-99.899256E-12	1.5775059E+0	1.5606220E+0	-451.50003E-3	-730.40786E-9	-446.37332E-9	-76.753238E-9	7.5938396E+0	525.44530E-15	0.0000000E+0	3.3270002E-3	453.16379E-15	2.5150450E-12
