x (nm),y (nm),zpen (mm),Force (N),zafm (nm)
11.351,-48.851,-2.193,1.312,2.473
11.354,-48.84,-1.6,1.599,2.476
11.37,-48.834,-1.852,1.203,2.475
11.372,-48.821,-1.746,1.596,2.478
11.382,-48.818,-1.748,1.4,2.476
11.39,-48.815,-1.491,1.79,2.478
11.396,-48.808,-1.125,1.356,2.474
11.408,-48.805,-1.155,1.685,2.478
11.421,-48.8,-1.517,1.342,2.476
11.433,-48.79,-1.22,1.629,2.478
11.46,-48.785,-1.296,1.506,2.479
11.468,-48.777,-1.222,1.633,2.479
11.503,-48.769,-0.781,1.66,2.48
11.521,-48.767,-0.727,1.678,2.478
11.532,-48.765,-0.668,1.775,2.479
11.547,-48.761,-0.671,1.561,2.479
11.571,-48.754,-0.642,1.672,2.478
11.579,-48.749,-0.566,1.596,2.479
11.588,-48.745,-0.674,1.507,2.48
11.603,-48.732,-0.37,1.637,2.48
11.612,-48.73,-0.255,1.738,2.481
11.62,-48.726,-0.108,1.651,2.483
11.627,-48.722,0.084,1.78,2.481
11.635,-48.719,0.508,1.911,2.482
11.663,-48.711,0.475,1.609,2.483
11.667,-48.704,0.421,1.754,2.482
11.67,-48.694,0.698,1.764,2.482
11.688,-48.69,0.683,1.637,2.483
11.689,-48.686,0.698,1.677,2.481
11.691,-48.685,0.758,1.753,2.483
11.7,-48.681,0.579,1.557,2.482
11.7,-48.678,0.743,1.828,2.484
11.713,-48.674,0.916,1.613,2.481
11.719,-48.672,1.019,1.873,2.485
11.724,-48.662,1.102,1.435,2.483
11.734,-48.652,1.513,1.78,2.484
11.748,-48.648,1.724,1.558,2.483
11.763,-48.64,1.505,1.676,2.484
11.769,-48.631,1.445,1.527,2.484
11.775,-48.626,1.393,1.712,2.485
11.779,-48.621,1.548,1.625,2.482
11.781,-48.617,1.874,1.743,2.485
11.789,-48.608,1.224,2.051,2.481
11.787,-48.6,1.423,1.896,2.486
11.796,-48.592,1.402,1.387,2.483
11.791,-48.579,2.103,1.36,2.485
11.8,-48.571,2.213,1.404,2.484
11.809,-48.565,1.873,1.702,2.485
11.805,-48.556,1.863,1.598,2.485
11.809,-48.544,2.139,1.691,2.485
11.813,-48.539,2.131,1.611,2.488
11.816,-48.53,2.05,1.698,2.485
11.826,-48.52,2.58,1.885,2.486
11.844,-48.512,2.57,1.478,2.488
11.862,-48.501,2.218,1.835,2.487
11.871,-48.489,2.568,1.976,2.488
11.904,-48.476,2.802,1.946,2.487
11.918,-48.467,2.958,1.858,2.49
11.922,-48.464,2.962,1.674,2.49
11.929,-48.46,3.49,1.967,2.49
11.944,-48.45,3.853,1.838,2.49
11.954,-48.444,3.78,1.914,2.488
11.959,-48.437,3.744,1.91,2.49
11.961,-48.433,3.603,1.61,2.487
11.967,-48.431,3.575,1.934,2.489
11.973,-48.427,3.455,1.54,2.488
11.973,-48.419,3.446,1.811,2.488
11.974,-48.417,3.514,1.609,2.488
11.981,-48.416,3.391,1.726,2.488
11.984,-48.413,3.437,1.734,2.489
11.99,-48.41,3.414,1.735,2.49
11.998,-48.406,3.571,1.821,2.487
12.006,-48.402,3.708,1.855,2.487
12.013,-48.398,3.541,1.5,2.488
12.018,-48.393,3.187,1.683,2.486
12.02,-48.385,3.21,1.738,2.488
12.032,-48.378,2.915,1.544,2.485
12.033,-48.372,3.077,1.779,2.487
12.034,-48.367,3.08,1.403,2.487
12.034,-48.367,2.905,1.704,2.486
12.034,-48.361,2.918,1.661,2.485
12.035,-48.357,3.023,1.553,2.485
12.037,-48.352,2.756,1.521,2.485
12.037,-48.344,2.584,1.458,2.485
12.038,-48.342,2.541,1.582,2.484
12.038,-48.337,2.629,1.544,2.483
12.039,-48.332,2.543,1.433,2.484
12.043,-48.323,2.18,1.38,2.487
12.044,-48.309,1.95,1.61,2.483
12.046,-48.299,2.369,1.875,2.487
12.052,-48.292,2.541,1.273,2.483
12.061,-48.292,2.389,1.852,2.485
12.065,-48.283,2.286,1.363,2.484
12.068,-48.276,1.995,1.713,2.484
12.068,-48.274,2.047,1.489,2.483
12.073,-48.272,1.926,1.587,2.483
12.079,-48.262,1.693,1.49,2.483
12.083,-48.254,1.519,1.635,2.485
12.088,-48.249,1.497,1.613,2.483
12.094,-48.243,1.727,1.753,2.482
12.108,-48.238,1.648,1.589,2.482
12.113,-48.229,1.322,1.473,2.479
12.115,-48.223,1.071,1.671,2.482
12.121,-48.217,0.453,1.383,2.482
12.124,-48.212,0.474,1.811,2.48
12.129,-48.206,1.06,1.573,2.479
12.141,-48.2,0.406,1.491,2.479
12.14,-48.193,0.266,1.46,2.478
12.142,-48.189,0.177,1.42,2.478
12.145,-48.186,0.157,1.35,2.476
12.149,-48.177,-0.098,1.315,2.476
12.151,-48.168,-0.566,1.286,2.476
12.166,-48.149,-1.207,1.425,2.476
12.18,-48.143,-1.206,1.402,2.476
12.191,-48.139,-1.261,1.39,2.474
12.199,-48.133,-1.296,1.449,2.475
12.215,-48.124,-1.833,1.359,2.474
12.219,-48.121,-1.994,1.55,2.473
12.228,-48.109,-2.082,1.395,2.475
12.233,-48.105,-2.225,1.27,2.474
12.236,-48.098,-2.093,1.514,2.474
12.239,-48.099,-2.103,1.409,2.472
12.245,-48.098,-2.31,1.45,2.471
12.25,-48.091,-2.359,1.276,2.473
12.256,-48.089,-2.612,1.246,2.472
12.26,-48.086,-2.823,1.616,2.472
12.266,-48.081,-2.763,1.432,2.472
12.272,-48.075,-2.983,1.416,2.475
12.276,-48.068,-3.025,1.471,2.47
12.283,-48.062,-2.468,1.687,2.471
12.311,-48.056,-3.582,1.387,2.473
12.316,-48.048,-3.965,1.752,2.473
12.319,-48.032,-3.752,1.801,2.471
12.324,-48.031,-3.291,1.615,2.471
12.345,-48.036,-3.341,1.507,2.473
12.353,-48.024,-3.544,1.518,2.47
12.359,-48.019,-3.154,1.688,2.471
12.372,-48.019,-3.283,1.267,2.47
12.378,-48.015,-3.605,1.577,2.474
12.378,-48.007,-3.769,1.422,2.471
12.38,-48.005,-3.35,1.739,2.472
12.388,-48.005,-3.114,1.234,2.472
12.399,-48.007,-3.315,1.561,2.472
12.404,-47.998,-3.335,1.54,2.47
12.408,-47.997,-3.263,1.584,2.474
12.412,-47.996,-3.555,1.359,2.471
12.411,-47.991,-3.464,1.913,2.472
12.419,-47.985,-3.146,1.373,2.471
12.427,-47.984,-3.402,1.571,2.472
12.435,-47.976,-3.473,1.452,2.473
12.441,-47.971,-3.316,1.602,2.47
12.448,-47.97,-3.243,1.619,2.472
12.454,-47.966,-3.373,1.307,2.473
12.461,-47.958,-3.491,1.648,2.471
12.476,-47.946,-3.062,1.593,2.473
12.49,-47.941,-3.405,1.416,2.472
12.494,-47.935,-3.462,1.733,2.471
12.498,-47.928,-3.278,1.465,2.472
12.506,-47.925,-3.409,1.383,2.473
12.512,-47.916,-3.391,1.517,2.471
12.513,-47.91,-3.116,1.632,2.474
12.519,-47.909,-3.274,1.397,2.47
12.522,-47.903,-3.294,1.776,2.473
12.527,-47.894,-3.547,1.35,2.472
12.531,-47.888,-3.541,1.841,2.472
12.538,-47.88,-3.129,1.454,2.471
12.546,-47.88,-3.311,1.525,2.471
12.556,-47.867,-3.468,1.463,2.472
12.559,-47.859,-3.496,1.474,2.471
12.567,-47.852,-3.339,1.521,2.473
12.57,-47.847,-3.445,1.447,2.47
12.573,-47.84,-3.363,1.743,2.47
12.585,-47.831,-3.461,1.384,2.472
12.596,-47.819,-3.789,1.433,2.471
12.599,-47.808,-3.613,1.586,2.473
12.614,-47.803,-3.602,1.499,2.471
12.615,-47.799,-3.403,1.735,2.473
12.616,-47.799,-3.312,1.438,2.472
12.617,-47.799,-3.096,1.621,2.471
12.619,-47.802,-3.169,1.478,2.473
12.619,-47.802,-3.31,1.469,2.469
12.618,-47.801,-3.243,1.709,2.472
12.619,-47.801,-3.878,1.382,2.47
12.618,-47.794,-3.886,1.672,2.471
12.619,-47.797,-3.748,1.392,2.472
12.621,-47.799,-3.775,1.565,2.472
12.62,-47.796,-3.48,1.572,2.472
12.62,-47.799,-3.478,1.592,2.473
12.618,-47.801,-3.51,1.577,2.471
12.618,-47.802,-3.4,1.779,2.471
12.616,-47.807,-3.465,1.431,2.473
12.609,-47.806,-3.651,1.501,2.47
12.606,-47.809,-3.532,1.724,2.471
12.604,-47.819,-3.648,1.439,2.47
12.591,-47.821,-3.755,1.492,2.473
12.573,-47.832,-3.761,1.436,2.471
12.561,-47.841,-3.42,1.665,2.471
12.551,-47.852,-3.48,1.415,2.472
12.537,-47.856,-3.666,1.484,2.472
12.526,-47.86,-3.558,1.607,2.471
12.517,-47.869,-3.485,1.557,2.471
12.508,-47.873,-3.473,1.509,2.471
12.495,-47.875,-3.526,1.483,2.472
12.492,-47.878,-3.523,1.439,2.472
12.491,-47.883,-3.421,1.581,2.472
12.49,-47.887,-3.439,1.551,2.47
12.486,-47.889,-3.35,1.628,2.472
12.485,-47.891,-3.392,1.303,2.471
12.481,-47.896,-3.442,1.612,2.472
12.47,-47.903,-3.422,1.486,2.471
12.461,-47.906,-3.312,1.543,2.47
12.452,-47.911,-3.377,1.484,2.474
12.445,-47.914,-3.492,1.279,2.472
12.437,-47.918,-3.44,1.967,2.472
12.419,-47.929,-3.126,1.533,2.472
12.409,-47.935,-3.218,1.518,2.47
12.397,-47.947,-3.217,1.504,2.473
12.391,-47.958,-3.358,1.364,2.471
12.381,-47.969,-3.295,1.648,2.474
12.377,-47.982,-3.447,1.513,2.469
12.369,-47.986,-3.163,1.79,2.471
12.361,-48.002,-3.714,1.351,2.472
12.348,-48.01,-4.076,1.678,2.473
12.331,-48.015,-3.667,1.621,2.471
12.328,-48.031,-3.395,1.651,2.471
12.322,-48.044,-3.61,1.52,2.471
12.306,-48.051,-3.713,1.594,2.472
12.293,-48.064,-3.732,1.493,2.472
12.289,-48.069,-3.705,1.679,2.473
12.272,-48.084,-3.429,1.593,2.471
12.26,-48.096,-3.4,1.696,2.471
12.242,-48.111,-3.539,1.555,2.472
12.23,-48.117,-3.699,1.537,2.471
12.221,-48.121,-3.712,1.619,2.473
12.211,-48.128,-3.79,1.516,2.471
12.204,-48.134,-3.704,1.777,2.472
12.196,-48.142,-3.694,1.573,2.473
12.188,-48.146,-3.801,1.647,2.474
12.176,-48.155,-3.508,1.784,2.47
12.174,-48.162,-3.36,1.846,2.472
12.172,-48.169,-3.73,1.377,2.475
12.145,-48.177,-3.934,1.71,2.473
12.137,-48.184,-3.382,2.041,2.47
12.136,-48.196,-2.888,1.496,2.473
12.13,-48.211,-3.757,1.527,2.472
12.109,-48.216,-3.934,1.864,2.472
12.096,-48.22,-3.694,1.687,2.472
12.089,-48.236,-3.585,1.681,2.473
12.079,-48.246,-3.537,1.671,2.472
12.066,-48.249,-3.528,1.766,2.473
12.059,-48.252,-3.572,1.683,2.473
12.058,-48.258,-3.5,1.722,2.472
12.055,-48.264,-3.423,1.791,2.475
12.051,-48.27,-3.478,1.577,2.474
12.041,-48.278,-3.079,1.835,2.473
12.035,-48.289,-2.992,1.752,2.475
12.031,-48.289,-3.008,1.63,2.474
12.027,-48.288,-2.982,1.825,2.474
12.024,-48.291,-2.961,1.763,2.475
12.02,-48.292,-2.956,1.735,2.475
12.018,-48.293,-2.925,1.813,2.475
12.016,-48.296,-2.904,1.806,2.477
12.016,-48.298,-2.863,1.877,2.476
12.012,-48.302,-2.598,2.031,2.477
12.008,-48.308,-2.345,1.821,2.477
12.001,-48.318,-2.262,1.963,2.477
11.988,-48.326,-2.168,1.977,2.479
11.981,-48.33,-2.142,1.981,2.477
11.973,-48.336,-1.951,2.124,2.48
11.962,-48.346,-1.857,1.889,2.481
11.956,-48.352,-1.703,2.151,2.481
11.947,-48.359,-1.138,2.19,2.484
11.942,-48.375,-0.765,1.99,2.482
11.936,-48.381,-0.466,2.35,2.484
11.929,-48.387,-0.097,1.947,2.481
11.924,-48.399,-0.138,2.248,2.482
11.912,-48.411,-0.254,1.903,2.483
11.899,-48.416,-0.173,2.064,2.486
11.881,-48.433,0.157,2.02,2.486
11.854,-48.456,1.038,2.113,2.482
11.832,-48.472,1.631,2.015,2.486
11.816,-48.484,1.35,1.525,2.486
11.803,-48.494,1.004,2.174,2.484
11.771,-48.499,1.444,2.081,2.485
11.75,-48.518,1.62,1.755,2.487
11.707,-48.541,1.741,1.808,2.483
11.678,-48.554,2.02,1.314,2.488
11.66,-48.565,1.902,1.414,2.487
11.638,-48.582,1.809,2.167,2.487
11.591,-48.616,2.552,1.858,2.487
11.575,-48.631,2.508,1.791,2.484
11.555,-48.643,2.512,1.821,2.485
11.547,-48.658,1.841,1.642,2.487
11.533,-48.663,1.906,1.802,2.488
11.523,-48.67,2.281,1.86,2.488
11.52,-48.681,2.691,1.881,2.486
11.514,-48.696,2.951,1.892,2.487
11.505,-48.705,2.517,1.77,2.49
11.488,-48.715,2.603,1.808,2.491
11.466,-48.732,3.4,1.982,2.489
11.441,-48.758,3.881,1.936,2.491
11.428,-48.764,3.61,1.824,2.49
11.414,-48.769,3.577,2.136,2.492
11.406,-48.782,3.747,1.888,2.491
11.4,-48.788,4.015,2.099,2.492
11.396,-48.792,4.181,1.94,2.49
11.396,-48.801,4.19,2.06,2.492
11.396,-48.802,4.119,1.797,2.495
11.39,-48.804,4.094,1.999,2.49
11.385,-48.811,4.56,2.383,2.492
11.393,-48.819,4.07,1.786,2.492
11.369,-48.827,4.344,1.971,2.491
11.369,-48.837,4.456,1.973,2.491
11.366,-48.842,4.338,1.807,2.492
11.359,-48.841,4.283,1.868,2.49
11.357,-48.846,4.433,1.89,2.489
11.354,-48.853,4.088,1.715,2.491
11.344,-48.856,3.952,1.653,2.489
11.333,-48.862,4.213,1.857,2.488
11.324,-48.867,4.063,1.604,2.489
11.315,-48.868,3.722,1.548,2.489
11.295,-48.871,3.677,1.683,2.488
11.28,-48.878,3.867,1.679,2.486
11.267,-48.882,3.755,1.588,2.489
11.26,-48.881,3.468,1.324,2.486
11.251,-48.888,3.285,1.845,2.491
11.237,-48.887,3.298,1.407,2.487
11.228,-48.893,3.458,2.056,2.485
11.217,-48.897,3.391,1.567,2.487
11.207,-48.893,2.614,1.608,2.489
11.193,-48.891,2.614,1.737,2.486
11.182,-48.897,3.051,1.943,2.487
11.183,-48.9,2.788,1.653,2.486
11.174,-48.899,2.658,1.765,2.484
11.166,-48.9,2.615,1.638,2.486
11.16,-48.904,1.974,1.561,2.485
11.133,-48.904,2.239,1.756,2.486
11.124,-48.908,1.978,1.67,2.484
11.116,-48.908,2.251,1.809,2.485
11.119,-48.911,2.038,1.647,2.486
11.118,-48.913,1.882,1.744,2.483
11.112,-48.915,1.947,1.849,2.483
11.111,-48.915,1.812,1.554,2.483
11.111,-48.924,1.297,1.66,2.484
11.109,-48.926,1.344,1.674,2.482
11.111,-48.929,1.403,1.708,2.484
11.112,-48.928,1.322,1.471,2.483
11.114,-48.929,1.255,1.744,2.482
11.118,-48.929,1.357,1.668,2.482
11.121,-48.93,1.272,1.538,2.48
11.12,-48.932,1.189,1.581,2.481
11.123,-48.933,0.927,1.374,2.481
11.126,-48.937,0.623,1.59,2.481
11.124,-48.936,0.673,1.479,2.479
11.124,-48.936,0.662,1.517,2.48
11.125,-48.935,0.462,1.334,2.48
11.123,-48.934,0.416,1.516,2.481
11.124,-48.936,0.4,1.479,2.48
11.123,-48.937,0.538,1.595,2.479
11.125,-48.939,0.352,1.503,2.48
11.124,-48.94,0.199,1.483,2.478
11.125,-48.938,0.186,1.53,2.477
11.127,-48.939,-0.087,1.371,2.474
11.127,-48.939,-0.264,1.327,2.478
11.124,-48.936,-0.996,1.167,2.476
11.105,-48.939,-0.935,1.647,2.477
11.109,-48.944,-0.857,1.252,2.477
11.115,-48.949,-1.214,1.514,2.477
11.108,-48.95,-1.052,1.596,2.478
11.11,-48.955,-1.078,1.555,2.477
11.11,-48.955,-1.061,1.696,2.475
11.108,-48.956,-1.151,1.552,2.475
11.109,-48.959,-1.475,1.416,2.473
11.105,-48.966,-1.945,1.486,2.475
11.105,-48.966,-2.117,1.332,2.473
11.102,-48.968,-2.138,1.542,2.474
11.1,-48.97,-2.24,1.356,2.475
11.094,-48.973,-2.352,1.489,2.475
11.093,-48.978,-2.182,1.576,2.476
11.093,-48.98,-2.17,1.571,2.474
11.093,-48.982,-2.168,1.671,2.474
11.093,-48.985,-2.333,1.468,2.472
11.085,-48.988,-2.514,1.493,2.471
11.079,-48.99,-2.667,1.364,2.473
11.077,-48.993,-2.982,1.352,2.472
11.069,-48.995,-3.043,1.552,2.472
11.063,-48.998,-2.977,1.441,2.475
11.063,-49,-3.039,1.448,2.471
11.059,-49.003,-2.692,1.663,2.476
11.063,-49.008,-3.132,1.381,2.473
11.051,-49.013,-2.956,1.993,2.472
11.04,-49.012,-2.517,1.458,2.473
11.043,-49.021,-3.14,1.519,2.47
11.025,-49.02,-3.052,1.584,2.472
11.024,-49.024,-3.338,1.283,2.472
11.02,-49.031,-3.53,1.674,2.473
11.005,-49.033,-3.279,1.447,2.472
11.002,-49.036,-3.323,1.638,2.471
10.998,-49.041,-3.348,1.475,2.474
10.987,-49.049,-3.609,1.451,2.474
10.973,-49.06,-3.403,1.778,2.472
10.96,-49.073,-2.965,1.67,2.472
10.957,-49.081,-2.988,1.388,2.474
10.949,-49.09,-3.318,1.57,2.471
10.934,-49.096,-3.125,1.696,2.472
10.923,-49.108,-3.419,1.405,2.471
10.903,-49.114,-3.429,1.608,2.473
10.897,-49.115,-3.428,1.45,2.473
10.891,-49.124,-3.363,1.734,2.471
10.885,-49.129,-3.241,1.574,2.471
10.884,-49.13,-3.41,1.37,2.473
10.882,-49.134,-3.634,1.546,2.472
10.861,-49.141,-3.299,1.629,2.47
10.845,-49.153,-3.358,1.502,2.473
10.821,-49.157,-3.721,1.442,2.473
10.804,-49.159,-3.676,1.722,2.471
10.783,-49.17,-3.131,1.607,2.473
10.771,-49.18,-3.426,1.473,2.473
10.763,-49.179,-3.514,1.67,2.47
10.763,-49.181,-3.307,1.678,2.471
10.771,-49.182,-3.401,1.324,2.472
10.776,-49.18,-3.556,1.483,2.469
10.773,-49.181,-3.455,1.624,2.475
10.778,-49.183,-3.966,1.311,2.471
10.77,-49.187,-3.756,2.047,2.471
10.766,-49.185,-3.303,1.3,2.474
10.776,-49.191,-3.648,1.584,2.469
10.771,-49.191,-3.352,1.858,2.471
10.777,-49.189,-3.408,1.16,2.47
10.777,-49.184,-3.865,1.522,2.474
10.776,-49.183,-3.824,1.463,2.471
10.776,-49.184,-3.653,1.856,2.471
10.779,-49.18,-3.563,1.413,2.474
10.783,-49.179,-3.734,1.57,2.473
10.779,-49.177,-3.106,1.74,2.473
10.789,-49.18,-2.994,1.609,2.47
10.793,-49.181,-3.158,1.671,2.472
10.792,-49.176,-3.468,1.337,2.468
10.79,-49.176,-3.814,1.72,2.471
10.789,-49.172,-4.176,1.285,2.472
10.782,-49.171,-3.993,1.625,2.47
10.787,-49.173,-3.558,1.557,2.472
10.798,-49.169,-4.05,1.441,2.472
10.794,-49.168,-3.709,1.613,2.47
10.796,-49.171,-3.572,1.584,2.473
10.798,-49.169,-3.768,1.401,2.472
10.793,-49.167,-3.792,1.847,2.471
10.791,-49.165,-3.582,1.606,2.471
10.8,-49.166,-3.823,1.499,2.471
10.797,-49.161,-3.785,1.554,2.472
10.798,-49.162,-3.79,1.59,2.472
10.798,-49.163,-3.707,1.621,2.47
10.797,-49.165,-3.589,1.678,2.474
10.799,-49.165,-3.958,1.438,2.472
10.792,-49.165,-3.805,1.756,2.473
10.798,-49.167,-3.4,1.64,2.471
10.799,-49.166,-3.377,1.658,2.47
10.797,-49.165,-3.636,1.495,2.471
10.797,-49.166,-4.081,1.472,2.472
10.792,-49.174,-3.687,1.526,2.472
10.792,-49.184,-3.579,1.613,2.471
10.791,-49.189,-3.57,1.567,2.472
10.791,-49.192,-3.82,1.497,2.472
10.784,-49.192,-3.553,1.601,2.471
10.77,-49.199,-3.452,1.56,2.473
10.755,-49.206,-3.539,1.471,2.471
10.743,-49.215,-3.399,1.722,2.471
10.732,-49.226,-3.577,1.455,2.471
10.727,-49.226,-3.594,1.506,2.471
10.716,-49.226,-3.61,1.428,2.47
10.716,-49.224,-3.564,1.465,2.472
10.715,-49.224,-3.635,1.396,2.472
10.712,-49.226,-3.515,1.508,2.473
10.71,-49.23,-3.475,1.581,2.471
10.707,-49.233,-3.372,1.626,2.471
10.708,-49.229,-3.748,1.481,2.471
10.708,-49.226,-3.726,1.453,2.472
10.71,-49.226,-3.715,1.508,2.47
10.71,-49.226,-3.656,1.582,2.47
10.715,-49.224,-3.818,1.364,2.472
10.715,-49.221,-3.915,1.468,2.473
10.714,-49.222,-3.695,1.589,2.473
10.715,-49.223,-3.53,1.67,2.47
10.72,-49.219,-3.404,1.674,2.47
10.732,-49.21,-3.986,1.48,2.473
10.731,-49.204,-4.02,1.474,2.469
10.729,-49.203,-3.666,1.78,2.47
10.75,-49.194,-4.065,1.424,2.472
10.752,-49.179,-4.218,1.543,2.472
10.76,-49.177,-3.88,1.658,2.472
10.771,-49.171,-3.721,1.711,2.471
10.78,-49.165,-3.856,1.732,2.474
10.793,-49.156,-4.082,1.651,2.471
10.808,-49.152,-4.081,2.078,2.471
10.813,-49.148,-4.014,1.604,2.469
10.825,-49.151,-4.219,1.755,2.472
10.826,-49.148,-4.355,1.476,2.471
10.818,-49.148,-4.232,1.785,2.471
10.821,-49.148,-4.232,1.709,2.472
10.821,-49.148,-4.32,1.692,2.472
10.821,-49.148,-4.261,1.849,2.475
10.823,-49.149,-4.108,1.798,2.475
10.828,-49.154,-3.355,1.912,2.472
10.837,-49.156,-3.202,1.884,2.469
10.846,-49.155,-3.521,1.691,2.474
10.85,-49.146,-4.688,1.58,2.465
10.837,-49.143,-4.284,2.075,2.47
10.857,-49.134,-5.012,1.18,2.47
10.861,-49.128,-5.655,2.012,2.475
10.85,-49.123,-4.708,1.636,2.475
10.862,-49.135,-4.158,2.158,2.473
10.875,-49.137,-3.252,1.836,2.475
10.89,-49.135,-3.127,1.688,2.472
10.899,-49.131,-3.423,1.942,2.472
10.898,-49.129,-3.505,1.634,2.469
10.897,-49.13,-3.75,1.738,2.47
10.896,-49.118,-4.255,1.442,2.47
10.895,-49.111,-4.662,1.749,2.469
10.897,-49.109,-4.412,1.645,2.471
10.902,-49.111,-4.598,1.484,2.473
10.903,-49.111,-4.61,1.853,2.473
10.896,-49.111,-4.101,1.83,2.472
10.908,-49.119,-3.689,1.784,2.472
10.91,-49.113,-3.857,1.782,2.474
10.912,-49.111,-3.858,1.727,2.471
10.913,-49.111,-3.748,1.896,2.473
10.925,-49.099,-4.252,1.663,2.47
10.927,-49.093,-3.947,1.823,2.47
10.946,-49.089,-4.196,1.583,2.47
10.95,-49.081,-4.457,1.57,2.471
10.953,-49.077,-4.401,1.621,2.472
10.958,-49.077,-4.338,1.641,2.473
10.959,-49.076,-4.217,1.788,2.475
10.969,-49.075,-3.87,1.824,2.473
10.977,-49.074,-3.599,2.001,2.472
10.991,-49.071,-3.509,1.768,2.468
11.003,-49.063,-3.747,1.74,2.471
11.016,-49.05,-4.63,1.524,2.473
11.012,-49.04,-4.195,1.633,2.471
11.02,-49.043,-3.847,1.851,2.474
11.03,-49.042,-3.826,1.549,2.471
11.038,-49.041,-3.873,2.023,2.474
11.049,-49.038,-3.98,1.689,2.474
11.05,-49.033,-3.717,1.869,2.472
11.055,-49.029,-3.535,1.835,2.47
11.06,-49.027,-3.744,1.752,2.473
11.067,-49.022,-4.371,1.565,2.474
11.06,-49.021,-4.007,1.829,2.473
11.064,-49.022,-3.245,1.833,2.474
11.079,-49.02,-3.415,1.746,2.472
11.084,-49.013,-3.546,1.844,2.474
11.088,-49.015,-3.598,1.681,2.47
11.089,-49.015,-3.476,1.941,2.471
11.091,-49.013,-3.944,1.554,2.47
11.087,-49.005,-4.248,1.629,2.474
11.09,-49.007,-4.241,1.505,2.473
11.093,-49.007,-3.458,1.756,2.474
11.11,-49.005,-3.507,1.775,2.475
11.108,-49.002,-3.428,1.859,2.473
11.109,-49,-3.296,1.921,2.47
11.115,-48.999,-3.326,1.671,2.471
11.119,-48.995,-3.725,1.457,2.471
11.122,-48.979,-4.049,1.682,2.473
11.124,-48.978,-4.033,1.55,2.474
11.134,-48.975,-3.794,1.767,2.473
11.139,-48.971,-3.538,1.862,2.473
11.151,-48.969,-3.557,1.808,2.473
11.162,-48.962,-3.676,1.786,2.471
11.168,-48.957,-3.621,1.839,2.473
11.171,-48.953,-3.772,1.535,2.472
11.176,-48.95,-3.843,1.917,2.473
11.178,-48.945,-3.719,1.729,2.472
11.181,-48.945,-3.771,1.792,2.472
11.188,-48.94,-3.813,1.764,2.474
11.193,-48.935,-3.867,1.783,2.473
11.196,-48.934,-3.782,1.983,2.473
11.201,-48.929,-3.75,1.766,2.474
11.212,-48.921,-3.88,1.858,2.472
11.218,-48.918,-3.796,1.947,2.475
11.222,-48.916,-3.814,1.746,2.473
11.23,-48.915,-3.683,2.083,2.473
11.24,-48.911,-3.657,1.788,2.473
11.252,-48.9,-3.747,1.893,2.476
11.259,-48.896,-3.744,1.901,2.474
11.264,-48.893,-3.552,2.193,2.473
11.277,-48.886,-3.476,1.879,2.474
11.282,-48.879,-3.615,1.854,2.475
11.283,-48.875,-3.559,1.984,2.475
11.286,-48.874,-3.447,1.978,2.474
11.292,-48.872,-3.278,2.032,2.474
11.299,-48.868,-3.529,1.864,2.475
11.298,-48.865,-3.479,1.899,2.475
11.3,-48.865,-3.349,1.987,2.478
11.304,-48.863,-3.259,1.952,2.476
11.303,-48.861,-2.926,2.271,2.475
11.315,-48.858,-2.673,1.903,2.476
11.331,-48.853,-3.1,1.907,2.476
11.33,-48.849,-3.056,2.004,2.476
11.332,-48.847,-2.955,2.005,2.475
11.339,-48.846,-2.917,1.964,2.478
11.338,-48.845,-2.979,1.921,2.477
11.339,-48.844,-2.618,2.187,2.476
11.348,-48.841,-2.349,1.985,2.475
11.357,-48.835,-2.6,1.989,2.476
11.356,-48.833,-2.686,1.857,2.477
11.357,-48.835,-2.685,1.941,2.479
11.357,-48.833,-2.472,1.991,2.476
11.358,-48.833,-2.1,2.157,2.477
11.363,-48.83,-2.113,1.804,2.478
11.373,-48.828,-2.367,2.062,2.478
11.371,-48.825,-2.217,2.095,2.477
11.373,-48.824,-2.071,2.089,2.477
11.379,-48.822,-2.331,1.899,2.478
11.375,-48.82,-2.382,1.903,2.479
11.376,-48.821,-2.235,2.123,2.48
11.378,-48.819,-1.893,2.122,2.477
11.384,-48.817,-1.585,2.158,2.478
11.403,-48.811,-2.033,1.899,2.478
11.402,-48.803,-2.103,1.974,2.477
11.405,-48.802,-2.014,1.979,2.479
11.409,-48.801,-2.082,1.823,2.478
11.407,-48.798,-2.022,2.149,2.48
11.412,-48.792,-1.766,1.959,2.478
11.419,-48.788,-1.623,2.094,2.478
11.426,-48.78,-1.582,1.935,2.479
11.431,-48.775,-1.741,1.933,2.481
11.434,-48.772,-1.681,2.008,2.481
11.435,-48.771,-1.419,2.191,2.478
11.442,-48.763,-0.842,2.017,2.48
11.458,-48.752,-1.394,1.903,2.479
11.456,-48.743,-1.203,1.991,2.483
11.464,-48.74,-1.115,1.897,2.481
11.465,-48.735,-0.617,2.175,2.482
11.487,-48.728,-0.627,2.007,2.481
11.488,-48.723,-0.357,2.094,2.481
11.495,-48.722,-0.48,1.937,2.483
11.496,-48.718,-0.61,1.953,2.48
11.493,-48.716,-0.427,2.155,2.484
11.503,-48.71,-0.503,1.879,2.482
11.506,-48.708,-0.42,2.36,2.484
11.51,-48.698,-0.159,1.932,2.483
11.52,-48.693,0.357,2.137,2.482
11.532,-48.69,0.073,2.037,2.48
