x (nm),y (nm),zpen (mm),Force (N),zafm (nm)
10.14,-46.92,18.248,0,2.472
10.14,-46.92,18.248,0,2.469
10.14,-46.92,18.243,0,2.465
10.14,-46.92,18.243,0,2.468
10.14,-46.92,18.243,0,2.466
10.14,-46.92,18.243,0,2.468
10.14,-46.92,18.243,0,2.47
10.14,-46.92,18.234,0,2.47
10.14,-46.92,18.234,0,2.47
10.141,-46.921,18.234,0,2.471
10.141,-46.921,18.234,0,2.472
10.141,-46.921,18.226,0.002,2.47
10.141,-46.921,18.226,0,2.468
10.141,-46.921,18.234,-0.002,2.47
10.141,-46.921,18.234,0,2.467
10.141,-46.921,18.234,0,2.466
10.141,-46.921,18.234,0,2.467
10.141,-46.921,18.234,0,2.465
10.141,-46.92,18.214,0,2.469
10.142,-46.919,18.209,0,2.469
10.142,-46.918,18.203,0,2.472
10.142,-46.916,18.192,0.001,2.471
10.143,-46.912,18.164,0.002,2.47
10.145,-46.908,18.122,0.005,2.47
10.146,-46.905,18.062,0.004,2.469
10.146,-46.904,18.029,0.003,2.467
10.147,-46.902,17.966,0.006,2.467
10.147,-46.901,17.924,0.002,2.467
10.147,-46.901,17.882,0.005,2.469
10.147,-46.901,17.845,0.004,2.468
10.148,-46.898,17.814,0.001,2.471
10.149,-46.896,17.774,0.005,2.471
10.149,-46.895,17.732,0.007,2.473
10.149,-46.895,17.644,0.01,2.469
10.149,-46.896,17.511,0.006,2.469
10.149,-46.896,17.474,0.009,2.467
10.149,-46.896,17.414,0.006,2.468
10.15,-46.894,17.31,0.006,2.468
10.15,-46.892,17.239,0.007,2.469
10.152,-46.888,17.138,0.008,2.469
10.152,-46.886,17.048,0.009,2.469
10.152,-46.885,16.706,0.013,2.47
10.151,-46.885,16.601,0.013,2.468
10.151,-46.884,16.434,0.017,2.47
10.152,-46.881,16.154,0.025,2.468
10.153,-46.88,15.914,0.028,2.47
10.153,-46.878,15.645,0.033,2.47
10.152,-46.878,15.285,0.032,2.47
10.153,-46.871,14.676,0.04,2.467
10.152,-46.869,14.288,0.042,2.47
10.154,-46.865,13.562,0.053,2.47
10.155,-46.864,12.87,0.048,2.469
10.154,-46.865,12.257,0.05,2.47
10.151,-46.868,11.473,0.067,2.47
10.149,-46.87,10.818,0.072,2.469
10.146,-46.873,10.156,0.074,2.467
10.137,-46.882,8.867,0.071,2.471
10.131,-46.89,8.015,0.07,2.468
10.127,-46.894,7.46,0.069,2.469
10.123,-46.899,6.945,0.063,2.471
10.112,-46.904,6.026,0.063,2.47
10.092,-46.905,4.676,0.085,2.472
10.075,-46.91,3.677,0.076,2.468
10.065,-46.912,3.018,0.072,2.469
10.047,-46.914,1.862,0.076,2.468
10.035,-46.914,0.525,0.194,2.466
10.029,-46.915,0.017,0.338,2.47
10.019,-46.918,-0.127,0.346,2.472
10.013,-46.921,-0.093,0.333,2.468
10.013,-46.922,-0.161,0.37,2.471
10.016,-46.921,-0.317,0.43,2.47
10.02,-46.917,-0.522,0.504,2.469
10.022,-46.917,-0.807,0.608,2.468
10.018,-46.923,-1.044,0.69,2.468
10.015,-46.93,-1.244,0.759,2.47
10.016,-46.934,-1.693,0.921,2.469
10.025,-46.925,-2.172,1.099,2.47
10.042,-46.909,-3.113,1.468,2.47
10.046,-46.903,-3.774,1.7,2.468
10.035,-46.902,-4.349,1.88,2.471
10.012,-46.9,-4.945,2.063,2.468
10.016,-46.898,-5.504,2.28,2.468
10.018,-46.897,-5.729,2.364,2.47
10.019,-46.894,-6.34,2.58,2.469
10.016,-46.895,-6.721,2.71,2.47
10.002,-46.897,-7.343,2.911,2.467
9.997,-46.894,-7.676,3.02,2.471
10.006,-46.875,-8.702,3.394,2.469
9.998,-46.872,-9.042,3.494,2.468
9.986,-46.874,-9.278,3.575,2.469
9.98,-46.877,-9.625,3.707,2.467
9.989,-46.863,-9.898,3.774,2.469
9.992,-46.856,-9.962,3.796,2.471
9.993,-46.854,-10.055,3.835,2.466
9.991,-46.85,-10.161,3.866,2.471
9.991,-46.849,-10.08,3.82,2.471
9.994,-46.848,-9.819,3.708,2.468
9.999,-46.853,-9.348,3.517,2.468
10.011,-46.849,-7.435,2.72,2.468
10.017,-46.861,-4.26,1.53,2.468
10.016,-46.895,-1.572,0.621,2.468
10.017,-46.952,1.116,-0.109,2.467
9.989,-47.018,2.811,-0.126,2.47
9.935,-47.087,5.632,-0.238,2.469
9.909,-47.125,8.122,-0.273,2.47
9.896,-47.154,10.635,-0.274,2.471
9.892,-47.174,12.679,-0.247,2.469
9.893,-47.196,14.754,-0.191,2.47
9.905,-47.217,16.706,-0.123,2.469
9.912,-47.226,17.592,-0.08,2.469
9.914,-47.23,18.009,-0.045,2.469
9.913,-47.236,18.207,-0.024,2.468
9.908,-47.248,18.475,-0.027,2.467
9.902,-47.263,18.884,-0.034,2.469
9.898,-47.279,19.257,-0.035,2.467
9.894,-47.294,19.523,-0.027,2.471
9.893,-47.304,19.668,-0.019,2.468
9.895,-47.325,19.874,-0.014,2.469
9.895,-47.333,19.946,-0.019,2.469
9.894,-47.35,20.059,-0.016,2.468
9.893,-47.369,20.206,-0.014,2.471
9.893,-47.393,20.378,-0.018,2.47
9.896,-47.425,20.612,-0.017,2.47
9.905,-47.445,20.742,-0.015,2.469
9.918,-47.47,20.9,-0.018,2.469
9.927,-47.487,21.006,-0.017,2.468
9.942,-47.507,21.196,-0.023,2.468
9.959,-47.53,21.48,-0.026,2.469
9.964,-47.556,21.931,-0.027,2.47
9.954,-47.585,22.268,-0.026,2.468
9.95,-47.596,22.37,-0.026,2.468
9.94,-47.617,22.601,-0.028,2.469
9.924,-47.657,23.033,-0.027,2.47
9.913,-47.687,23.336,-0.025,2.469
9.904,-47.716,23.565,-0.017,2.471
9.899,-47.747,23.712,-0.011,2.469
9.898,-47.771,23.781,-0.01,2.467
9.905,-47.806,23.806,-0.006,2.469
9.919,-47.864,23.925,-0.017,2.468
9.929,-47.917,24.149,-0.031,2.468
9.935,-47.965,24.371,-0.026,2.471
9.943,-48.021,24.619,-0.02,2.469
9.95,-48.08,24.873,-0.03,2.467
9.954,-48.131,25.084,-0.019,2.469
9.957,-48.189,25.384,-0.027,2.471
9.954,-48.225,25.439,0.002,2.47
9.948,-48.259,25.372,0.021,2.466
9.94,-48.289,25.245,0.015,2.471
9.932,-48.315,25.052,0.018,2.47
9.927,-48.337,24.88,0.021,2.47
9.922,-48.37,24.67,0.014,2.469
9.923,-48.419,24.611,-0.005,2.469
9.927,-48.454,24.54,0.013,2.471
9.934,-48.487,24.463,0.007,2.47
9.945,-48.537,24.174,0.019,2.468
9.947,-48.597,23.93,0.023,2.468
9.94,-48.632,23.8,0.027,2.471
9.923,-48.694,23.669,0.005,2.468
9.91,-48.737,23.434,0.033,2.469
9.895,-48.79,23.103,0.024,2.471
9.881,-48.847,22.498,0.038,2.471
9.872,-48.887,22.15,0.034,2.471
9.869,-48.906,21.986,0.037,2.468
9.857,-48.962,21.491,0.035,2.468
9.851,-49.001,21.211,0.028,2.469
9.843,-49.071,20.775,0.033,2.469
9.844,-49.112,20.5,0.033,2.47
9.848,-49.165,20.159,0.025,2.47
9.852,-49.198,19.942,0.027,2.469
9.863,-49.243,19.468,0.034,2.472
9.875,-49.267,19.044,0.034,2.469
9.893,-49.288,18.72,0.023,2.47
9.912,-49.302,18.465,0.021,2.468
9.924,-49.311,18.205,0.024,2.47
9.93,-49.324,17.78,0.029,2.469
9.927,-49.337,17.245,0.04,2.471
9.927,-49.351,16.86,0.029,2.47
9.93,-49.371,16.389,0.031,2.47
9.938,-49.38,16.202,0.015,2.469
9.954,-49.389,15.949,0.009,2.469
9.965,-49.4,15.789,0.011,2.469
9.978,-49.409,15.652,0.01,2.471
9.988,-49.412,15.495,0.018,2.467
9.995,-49.416,15.287,0.023,2.47
10,-49.42,14.979,0.032,2.469
10.008,-49.428,14.625,0.028,2.471
10.014,-49.433,14.482,0.009,2.469
10.016,-49.434,14.381,0.006,2.469
10.015,-49.439,14.195,0.009,2.469
10.015,-49.44,14.105,0.01,2.47
10.014,-49.444,13.94,0.013,2.469
10.015,-49.456,13.767,0.008,2.47
10.017,-49.462,13.678,0.013,2.468
10.017,-49.475,13.573,0.007,2.471
10.015,-49.483,13.416,0.013,2.471
10.013,-49.489,13.285,0.011,2.47
10.013,-49.493,13.217,0.001,2.469
10.016,-49.496,13.223,-0.001,2.47
10.016,-49.499,13.256,-0.006,2.47
10.01,-49.507,13.334,-0.007,2.468
9.998,-49.526,13.278,0.007,2.469
9.998,-49.538,13.263,0,2.469
9.998,-49.544,13.269,-0.002,2.469
10.003,-49.565,13.299,0.001,2.47
10.011,-49.595,13.3,-0.001,2.47
10.013,-49.612,13.266,0.003,2.471
10.016,-49.642,13.215,0.001,2.469
10.013,-49.662,13.182,0.007,2.47
10.016,-49.671,13.014,0.018,2.47
10.013,-49.683,12.705,0.012,2.469
10.01,-49.69,12.62,0.009,2.468
10.006,-49.699,12.557,0.006,2.468
10.002,-49.717,12.456,0.005,2.47
10.004,-49.732,12.304,0.011,2.467
10.013,-49.739,12.193,0.002,2.471
10.021,-49.737,12.151,0.004,2.47
10.023,-49.73,12.086,0.006,2.471
10.023,-49.725,11.996,0.006,2.47
10.024,-49.719,11.909,0.01,2.471
10.025,-49.713,11.864,-0.001,2.471
10.026,-49.71,11.838,0.002,2.468
10.028,-49.702,11.737,0.008,2.47
10.03,-49.695,11.673,0.001,2.469
10.029,-49.695,11.673,0,2.47
10.028,-49.694,11.673,0,2.468
10.023,-49.69,11.659,0.005,2.472
10.022,-49.686,11.617,0.005,2.471
10.024,-49.675,11.483,0.006,2.469
10.026,-49.667,11.411,0.002,2.469
10.027,-49.667,11.403,0,2.472
10.027,-49.666,11.414,0,2.47
10.031,-49.658,11.314,0.007,2.469
10.032,-49.648,11.206,0.007,2.47
10.034,-49.646,11.153,0.004,2.47
10.033,-49.648,11.187,-0.004,2.47
10.033,-49.649,11.214,-0.001,2.471
10.033,-49.649,11.214,0,2.469
10.033,-49.648,11.178,0.006,2.469
10.033,-49.648,11.178,0,2.469
10.033,-49.648,11.178,0,2.47
10.033,-49.648,11.187,-0.001,2.469
10.031,-49.651,11.189,-0.003,2.468
10.027,-49.657,11.234,-0.009,2.47
10.018,-49.669,11.372,-0.006,2.471
10.019,-49.67,11.369,0.003,2.469
10.019,-49.672,11.305,0.006,2.47
10.019,-49.675,11.269,0.002,2.471
10.018,-49.682,11.202,0.005,2.471
10.017,-49.686,11.111,0.009,2.469
10.016,-49.688,11.055,0.006,2.472
10.016,-49.688,11.055,0,2.469
10.016,-49.688,11.046,0,2.469
10.016,-49.688,11.016,0.005,2.47
10.015,-49.69,10.96,0.01,2.47
10.012,-49.699,10.706,0.011,2.472
10.01,-49.7,10.6,0.008,2.47
10.009,-49.7,10.55,0.001,2.471
10.008,-49.7,10.539,0,2.47
10.008,-49.701,10.527,0,2.468
10.007,-49.701,10.516,0.001,2.467
10.006,-49.702,10.502,0.002,2.469
10.006,-49.704,10.488,0.001,2.47
10.005,-49.704,10.488,0,2.47
10.004,-49.704,10.477,0.001,2.471
10.002,-49.704,10.454,0.006,2.471
9.999,-49.705,10.421,0.003,2.471
9.997,-49.706,10.376,0,2.472
9.996,-49.707,10.365,0,2.469
9.997,-49.707,10.365,0,2.468
9.997,-49.707,10.354,0,2.468
9.996,-49.708,10.351,-0.001,2.467
9.996,-49.709,10.348,0,2.469
9.996,-49.711,10.314,0,2.47
9.996,-49.711,10.303,0,2.469
9.996,-49.711,10.303,0,2.472
9.996,-49.712,10.292,0.001,2.471
9.995,-49.713,10.269,0.001,2.469
9.994,-49.716,10.272,-0.003,2.47
9.994,-49.718,10.305,-0.004,2.472
9.994,-49.718,10.305,0.004,2.467
9.994,-49.719,10.294,0,2.469
9.992,-49.719,10.283,0.003,2.47
9.991,-49.719,10.272,0.001,2.469
9.991,-49.719,10.272,0,2.471
9.99,-49.718,10.263,0.001,2.47
9.991,-49.717,10.235,0.001,2.47
9.99,-49.718,10.202,0.001,2.471
9.987,-49.72,10.146,0.006,2.469
9.987,-49.72,10.134,0.003,2.47
9.985,-49.721,10.112,0.001,2.469
9.982,-49.721,10.078,0.004,2.47
9.98,-49.722,10.045,0.005,2.468
9.98,-49.722,10.045,0,2.468
9.98,-49.724,10,0.002,2.47
9.98,-49.724,9.969,0.002,2.47
9.98,-49.725,9.946,0.005,2.469
9.981,-49.726,9.955,0,2.47
9.98,-49.727,9.921,0.004,2.469
9.98,-49.727,9.921,0,2.468
9.98,-49.728,9.91,0.002,2.47
9.98,-49.729,9.918,0,2.47
9.98,-49.729,9.907,0.004,2.468
9.98,-49.729,9.896,0.004,2.47
9.979,-49.731,9.851,0.005,2.47
9.979,-49.733,9.794,0.004,2.468
9.978,-49.735,9.749,0.007,2.47
9.977,-49.74,9.656,0.004,2.471
9.977,-49.74,9.645,0.001,2.47
9.977,-49.74,9.634,0,2.469
9.977,-49.741,9.611,0.005,2.469
9.976,-49.742,9.589,0.002,2.47
9.977,-49.744,9.543,0.002,2.47
9.976,-49.746,9.518,0.003,2.47
9.976,-49.748,9.504,0.002,2.469
9.975,-49.749,9.478,0.003,2.47
9.973,-49.754,9.365,0.007,2.47
9.973,-49.756,9.309,0.006,2.47
9.973,-49.757,9.275,0.006,2.469
9.973,-49.757,9.255,0.004,2.469
9.972,-49.757,9.244,0,2.468
9.973,-49.758,9.244,0,2.468
9.973,-49.759,9.241,0,2.469
9.973,-49.759,9.23,0.001,2.471
9.973,-49.76,9.218,0,2.47
9.973,-49.76,9.207,0.003,2.47
9.973,-49.759,9.199,0.001,2.468
9.973,-49.76,9.187,0,2.47
9.973,-49.76,9.187,0,2.47
9.973,-49.759,9.179,0,2.469
9.973,-49.759,9.168,0,2.467
9.973,-49.76,9.145,0,2.47
9.972,-49.761,9.134,0,2.47
9.972,-49.761,9.123,0,2.47
9.972,-49.761,9.123,0,2.47
9.972,-49.761,9.123,0,2.468
9.972,-49.761,9.103,0.001,2.47
9.971,-49.76,9.103,0,2.469
9.971,-49.761,9.08,0.001,2.47
9.97,-49.762,9.038,0.004,2.468
9.969,-49.763,9.004,0.002,2.468
9.969,-49.763,9.004,0,2.469
9.968,-49.762,8.965,0.005,2.47
9.968,-49.761,8.956,0.001,2.469
9.968,-49.761,8.956,0,2.468
9.968,-49.762,8.945,0.003,2.47
9.968,-49.762,8.945,0,2.471
9.968,-49.762,8.934,0.001,2.47
9.968,-49.762,8.934,0,2.468
9.968,-49.763,8.923,0,2.471
9.967,-49.764,8.889,0.002,2.469
9.968,-49.763,8.88,0.001,2.47
9.967,-49.764,8.869,0,2.47
9.967,-49.764,8.869,0,2.468
9.967,-49.764,8.869,0,2.468
9.967,-49.764,8.869,0,2.468
9.968,-49.764,8.869,0,2.47
9.968,-49.763,8.849,0,2.469
9.968,-49.764,8.818,0.006,2.47
9.968,-49.764,8.787,0.006,2.469
9.968,-49.763,8.768,0.002,2.471
9.969,-49.762,8.732,0.008,2.469
9.969,-49.761,8.704,0.002,2.47
9.969,-49.762,8.681,0,2.469
9.969,-49.762,8.67,0.001,2.47
9.969,-49.762,8.658,0.005,2.472
9.968,-49.763,8.647,0.004,2.47
9.968,-49.764,8.624,0.005,2.467
9.967,-49.765,8.579,0.002,2.468
9.967,-49.765,8.517,0.007,2.471
9.968,-49.765,8.497,0.001,2.469
9.968,-49.765,8.497,0,2.471
