z_pen,force_z
85.183,-0.0035806
85.183,-0.0035806
85.183,-0.0035806
85.183,-0.0035806
85.183,-0.0035806
85.183,-0.0035806
85.183,-0.0035806
85.183,-0.0035806
85.183,-0.0035806
85.183,-0.0035806
85.183,-0.0035806
85.183,-0.0035806
85.183,-0.0035806
85.183,-0.0035806
85.183,-0.0035806
85.176,-0.0035806
85.176,-0.0035806
85.176,0.00292935
85.176,0.00292935
85.176,0.00292935
85.176,0.00292935
85.176,0.00292935
85.176,0.00292935
85.176,0.00292935
85.176,0.00292935
85.176,0.00292935
85.176,0.00292935
85.176,0.00292935
85.176,0.00292935
85.176,0.00292935
85.176,0.00292935
85.176,0.00292935
85.176,0.00292935
85.176,0.00292935
85.176,0.00292935
85.176,0.00292935
85.176,0.00292935
85.176,0.00292935
85.169,0.00292935
85.169,0.00292935
85.169,0.00292935
85.169,0.00292935
85.169,0.00292935
85.169,0.00292935
85.169,0.00292935
85.169,0.00292935
85.169,0.00292935
85.169,0.00127035
85.169,0.00127035
85.169,0.00127035
85.169,0.00127035
85.169,0.00127035
85.169,0.00127035
85.169,0.00127035
85.169,0.00127035
85.169,0.00127035
85.155,0.00127035
85.155,0.00127035
85.155,0.00127035
85.155,0.00127035
85.155,0.00127035
85.155,-0.00170995
85.155,-0.00170995
85.155,-0.00170995
85.141,-0.00170995
85.141,-0.00170995
85.141,-0.00170995
85.141,-0.00170995
85.141,-0.00170995
85.141,-0.00170995
85.134,-0.00170995
85.134,-0.00170995
85.134,-0.00170995
85.127,-0.00170995
85.12,-0.00170995
85.12,-0.00170995
85.12,-0.00170995
85.12,-0.00170995
85.106,-0.00035206
85.106,-0.00035206
85.106,-0.00035206
85.106,-0.00035206
85.099,-0.00035206
85.099,-0.00035206
85.099,-0.00035206
85.099,-0.00035206
85.085,-0.00035206
85.078,-0.00035206
85.064,-0.00035206
85.064,-0.00035206
85.064,-0.00035206
85.057,-0.00035206
85.057,-0.00035206
85.043,-0.00035206
85.043,-0.00035206
85.043,-0.00035206
85.043,-0.00035206
85.036,-0.00035206
85.022,-0.00035206
85.022,-0.00035206
85.022,-0.00035206
85.008,-0.00035206
85.008,-0.00035206
85.001,-0.00035206
85.001,-0.00035206
84.987,-0.00121025
84.987,-0.00121025
84.987,-0.00121025
84.987,-0.00121025
84.98,-0.00121025
84.973,-0.00121025
84.973,-0.00121025
84.959,-0.00121025
84.945,-0.00121025
84.945,-0.00121025
84.938,-0.00121025
84.938,-0.00121025
84.924,-0.00121025
84.924,-0.00121025
84.917,-0.00121025
84.917,-0.00121025
84.903,-0.00121025
84.903,-0.00121025
84.896,-0.00121025
84.896,-0.00121025
84.882,-0.00121025
84.882,-0.00121025
84.875,-0.00121025
84.861,-0.00121025
84.861,-0.00121025
84.854,-0.00121025
84.84,-0.00121025
84.84,-0.00121025
84.84,-0.00121025
84.833,-0.00121025
84.833,-0.00121025
84.819,-0.00121025
84.798,-0.00121025
84.798,-0.00121025
84.791,-0.00121025
84.777,-0.00121025
84.777,-0.00121025
84.77,-0.00121025
84.77,-0.00121025
84.756,-0.00121025
84.756,-0.00121025
84.749,-0.00121025
84.749,-0.00121025
84.735,-0.00048301
84.735,-0.00048301
84.714,-0.00048301
84.714,-0.00048301
84.7,-0.00048301
84.7,-0.00048301
84.693,-0.00048301
84.693,-0.00048301
84.679,-0.00048301
84.679,-0.00048301
84.658,-0.00048301
84.658,-0.00048301
84.651,-0.00048301
84.651,-0.00048301
84.637,-0.00048301
84.637,-0.00048301
84.616,-0.00048301
84.609,-0.00048301
84.609,-0.00048301
84.595,-0.00048301
84.574,-0.00048301
84.567,-0.00048301
84.567,-0.00048301
84.546,-0.00048301
84.532,-0.00048301
84.518,-0.00048301
84.497,-0.00048301
84.497,-0.00048301
84.49,-0.00048301
84.469,-0.00048301
84.469,-0.00048301
84.434,-0.00048301
84.413,-0.00048301
84.413,-0.00048301
84.385,-0.00048301
84.385,-0.00048301
84.364,-0.00048301
84.364,-0.000400645
84.35,-0.000400645
84.35,-0.000400645
84.329,-0.000400645
84.329,-0.000400645
84.308,-0.000400645
84.294,-0.000400645
84.294,-0.000400645
84.231,-0.000400645
84.231,-0.000400645
84.217,-0.000400645
84.217,-0.000400645
84.196,-0.000400645
84.196,-0.000400645
84.175,-0.000400645
84.154,-0.000400645
84.154,-0.000400645
84.147,-0.000400645
84.147,-0.000400645
84.126,-0.000400645
84.126,-0.000400645
84.077,-0.000400645
84.07,-0.0011125
84.07,-0.0011125
84.049,-0.0011125
84.049,-0.0011125
84.028,-0.0011125
84.028,-0.0011125
84.007,-0.0011125
84.007,-0.0011125
83.979,-0.0011125
83.979,-0.0011125
83.972,-0.0011125
83.93,-0.0011125
83.909,-0.0011125
83.909,-0.0011125
83.881,-0.0011125
83.874,-0.0011125
83.853,-0.0011125
83.853,-0.0011125
83.832,-0.0011125
83.832,-0.0011125
83.811,-0.0011125
83.811,-0.0011125
83.783,-0.0011125
83.762,-0.0011125
83.762,-0.0011125
83.755,-0.0011125
83.755,-0.0011125
83.734,-0.0011125
83.713,-0.0011125
83.713,-0.001633
83.713,-0.001633
83.678,-0.001633
83.657,-0.001633
83.636,-0.001633
83.615,-0.001633
83.615,-0.001633
83.594,-0.001633
83.594,-0.001633
83.58,-0.001633
83.58,-0.001633
